"Name","Tore"
"Alena Saktan",2
"Anna Awender",0
"Anna Biegner",1
"Anna Brunn",3
"Barbora Zigraiova",0
"Carolin Marie",1
"Eliana Alemanno",1
"Emma Grub",1
"Greta Karoline",1
"Hannah Hurth",2
"Henriette Mann",5
"Josephine Schmidt",0
"Josephine Zimmer",0
"Katharina Fischer",2
"Katharina Sophie",0
"Katharina Zangerle",5
"Leni Heil",1
"Leyla Semar",0
"Lisa Sophie",1
"Lisanne Günther",2
"Mailin Braun",2
"Marie Thierfelder",2
"Meira Scheurer",0
"Pauline Tam",2
"Sarah Rech",0
"Sophia Lepiors",0
"Tabea Mager",1
"Tabea Picabo",2
"Tessa Ebert",0
"Viviane Schranz",2
