"Name","Tore"
"Adriana Altpeter",5
"Adriana Heck",0
"Alea Leismann",30
"Alice Winter",25
"Alina Kallenbach",28
"Aline Rosar",53
"Alisha Herzig",70
"Amy Schwindling",7
"Ana-Marija Gasparov",0
"Angela Bruno",12
"Angelina Zinkgraf",4
"Anja Geier",33
"Anke Mautes",78
"Ann-Kathrin Küß",0
"Anna Emperle",10
"Anna Hoffmann",0
"Anna Lehmann",1
"Anna Scherer",40
"Anna Schlegel",31
"Anna Schwarz",17
"Anna Sesterhenn",13
"Anna Vogt",2
"Anna Zägel",35
"Anna-Lena Lux",16
"Annalena Zahm",0
"Anne-Kathrin Hartl",2
"Annemarie Schön",4
"Annika Alt",1
"Annika Dehne",0
"Annika Hirth",11
"Annika Werner",0
"Aranka Meloni",8
"Bärbel Schäffler",0
"Becky Gerlach",61
"Bianca Lauer",33
"Bianca Walther",1
"Birgit Heinisch",0
"Birte Brunke",0
"Bonnie Cufaro",46
"Braun Carina",0
"Cara Leismann",3
"Carina Braun",0
"Carina Lerner",3
"Carolin Heinz",30
"Carolin Wegmann",0
"Celina Schmitt",0
"Celine Mitchell",0
"Chantal Söther",21
"Chantal Van",0
"Chiara Di",127
"Christina Budke",5
"Christina Ryabtsyeva",3
"Claudia Czernickiewitz",61
"Cornelia Scherf-Zitte",30
"Dafina Haskaj-Gasi",62
"Dana Egler",23
"Dana Leibrock",48
"Daniela Rubeck",12
"Deborah Lux",33
"Denise Denk",29
"Elena Adams",28
"Elena De",0
"Elena Schwarz",4
"Elena Wonner",1
"Ellen Maldener",0
"Emma Lesch",96
"Eva Zöllner",38
"Fabienne Kunzler",53
"Florence Ulrich",92
"Franziska Lehmon",13
"Franziska Schmitt",0
"Franziska Will",48
"Gianna Fuchs",44
"Hanna Spallek",42
"Hannah Fuhr",16
"Hannah Gentes",0
"Hannah Oehm",0
"Hannah Scholtes",58
"Hannah Seel",6
"Heike Mayer",0
"Helena Altmeier",0
"Helena Klees",63
"Ina Schätzel",32
"Isabella Bessey",9
"Isabelle Biehl",9
"Jacqueline Bier",101
"Jacqueline Nätzer",0
"Jana Lorenz",8
"Jana Maximini",87
"Jana Scherer",105
"Jana Seel",23
"Jana Specht",32
"Jana Turbing",0
"Janika Müller",18
"Janina Schön",38
"Janine Reinsch",2
"Jasmin Altmann",0
"Jennifer Regitz",8
"Jessica Schäfer",25
"Joelle Söther",0
"Johanna Brennauer",1
"Josephine Marschall",29
"Jost Melanie",0
"Jule Freund",0
"Juli Merklinger",0
"Julia Boudier",0
"Julia Herwarth",3
"Julia Lehmann",7
"Julia Merklinger",0
"Julia Saar",14
"Kaja Müller",1
"Karin Erschens",0
"Katharina Buchner",7
"Katharina Dörr",18
"Katharina Koch",14
"Kathrin Eggert",30
"Katja Jungbluth",6
"Katja Limbach",27
"Katja Matle",6
"Katrin Monz",0
"Katrin Rauber",15
"Katrin Seitz",16
"Kerstin Altmeier",30
"Kim Loraine",9
"Kim Petry",3
"Kim Rausch-Dupont",52
"Kira Martin",69
"Kira Zimmer",59
"Kristin Schnur",45
"Kristina Brill",3
"Lara-Marie May",0
"Larissa Ebert",30
"Laura Cufaro",33
"Laura Flick",28
"Laura Gentes",18
"Laura Gerlach",30
"Laura Marcello",5
"Laura Schnagl",12
"Laura Witzgall",0
"Laura Zimmer",5
"Laura-Christin Müller",0
"Lea Haßinger",48
"Lea Sofie",1
"Lea-Sofie Schwarz",2
"Lena Erbelding",0
"Lena Ewerling",2
"Lena Geibel",11
"Lena Margardt",47
"Lena Marie",2
"Lena Piethe",67
"Lena Ritter",5
"Lena Zimmer",64
"Leonie Malisan",0
"Leonie Ogait",0
"Leonie Rodener",22
"Lina Meyer-Klein",12
"Lisa Eisel",44
"Lisa Maurer",15
"Lisa Paquet",34
"Lisa-Marie Herzig",0
"Lisa-Marie Linsler",16
"Louisa Kraus",13
"Louisa Nimsgern",5
"Louisa Otto",6
"Luisa Fuchs",87
"Maike Ernst",4
"Maike Lehnen",3
"Maite Hilty",11
"Malena Lange",114
"Mara Turbing",0
"Mareike Landgraf",0
"Maren Blatton",4
"Marie Simon",1
"Marie-Christin Sträßer",5
"Marie-Luise Kiefer",79
"Marina Bleimehl",43
"Meike Wirth",0
"Melanie Brombacher",0
"Michaela Pfeiffer",18
"Michèle Gleser",2
"Michelle Holzer",0
"Michelle Schreiner",49
"Michelle Seiß",2
"Milena Fuchs",9
"Milena Knapp",0
"Milena Tinnes",19
"Miriam Baab",63
"Miriam Schoeneich",8
"Morgane Schniebs",1
"Nadine Zellmer",25
"Natalie Schild",6
"Natascha Kaiser",16
"Nathalie Becker",2
"Nathalie Breinig",0
"Nathalie Polcher",71
"Nele Dillo",97
"Nele Wild",3
"Nicole Kopp",18
"Nina Bender",0
"Nina Kremer",25
"Rachel Wilhelm",1
"Rapha Hussong",2
"Raphaela De",0
"Rebecca Bold",31
"Rebecca Schmidt",5
"Ricarda Landgraf",1
"Sabrina Theis",7
"Sally Winter",2
"Sandra Jonczyk",42
"Sandra Neumann",0
"Sandra Rubil",4
"Sandy Strauß",10
"Sara Breier",36
"Sara Fee",2
"Sarah Herl",65
"Sarah Salm",2
"Sarah Schwirz",0
"Sarah Witzgall",16
"Sarah Zinkgraf",66
"Sarah-Maria Kirsch",0
"Selina Kohlenberg",0
"Selina Wrublewsky",4
"Shari Alt",11
"Silvia Jaeger",0
"Sofie Wilhelm",0
"Solveig Petrak",17
"Sophie Schneider",15
"Stefanie Heck",1
"Stefanie Holz",19
"Stefanie Polcher",9
"Susanne Deutschen",38
"Svenja Hirth",70
"Svenja Rausch-Dupont",10
"Svenja Schneider",16
"Tamara Jung",12
"Tamara Leidner",1
"Tessa Hoffmann",0
"Theresa Ogait",19
"Vanessa Gill",36
"Vanessa Pörtner",14
"Vanessa Wallerich",11
"Verena Schnur",53
"Veronika Gawron",50
"Victoria Anstand",2
"Wiebke Meiers",15
"Yasmina Chiara",0
"Zoe Viehoff",1
