"Name","Tore"
"84 Nr.",84
"9 Nr.",0
"Alexander Gros",6
"Alexander Laub",7
"Alexander Michel",2
"Alexander Veith",15
"Andreas Helle",41
"Andreas Matheis",33
"Andreas Schneider",33
"Andreas Weber",11
"Andy Rzepucha",18
"Bastian Tittelbach",5
"Ben Bieber",1
"Benedict Haubeil",8
"Benedikt Bayer",5
"Benjamim Altholz",3
"Benjamim Heller",12
"Benjamin Schanne",24
"Benjamin Wendel",5
"Bernd gräbel",28
"Bernd Gräbel",17
"Bjarne Buhtz",24
"Björn Franz",18
"Björn Schäfer",91
"Carlo Lamping",2
"Carsten Carius",10
"Cedric Rocker",2
"Christian Haag",0
"Christian Harig",2
"Christian Schauer",10
"Christoph Backes",1
"Christoph Martini",0
"Christoph Wannemacher",0
"christoph willenbacher",0
"Claudio Marcello",1
"Dagoberto Martinez",0
"Daniel Backes",6
"Daniel Bugiel",29
"Daniel Hahn",5
"Daniel Hooß",68
"Daniel Keller",12
"David Klein",21
"David Weis",1
"Dennis Befort",2
"Dennis Mathieu",29
"Dennis Steimer",24
"Dirk Blaumeiser",4
"Dirk Hammer",2
"Dirk Jipner",6
"Dominic Mader",14
"Dominik Dillinger",4
"Dominik Mader",3
"Dominik Richter",20
"Dominik Risch",10
"Dominik Schmitt",29
"Dominik Schöndorf",24
"Dominique Cartus",16
"Erik Bleimehl",24
"Erik Dümmler",27
"Fabian Berres",8
"Fabian Loschky",3
"Fabian Naumann",4
"Fabian Neu",20
"Fabian Schappert",4
"Fabian Thiery",77
"Felix Dabrock",6
"Flavio Tassone",1
"Florian Franzl",21
"Florian Georg",14
"Florian Kaffke",25
"Florian Kafke",3
"Florian Michels",17
"Florian Schoppe",4
"Florian Stoll",43
"Frank Becker",1
"Frank Decker",8
"Frank Koprowski",6
"Frank Marian",15
"Frederik Welsch",2
"Glen Luga",1
"Gräbel Bernd",3
"Hänisch Klaus",4
"Hans Berger",0
"Harald Hauth",0
"Heiko Von",9
"Holger Meuler",20
"Holger Schuch",6
"Ian Sachs",31
"Ingo Kubik",29
"Jan Braunhardt",4
"Jan Hoffeld",2
"Jan Weise",62
"Jannik Franz",3
"Jannik Lang",0
"Jannis Traut",0
"Jens Becker",20
"Jens Jurgutat",3
"Jerome Lange",26
"Joachim Geiger",33
"Jochen Heller",43
"Johannes Knoll",13
"Johannes Ruppert",2
"Johannes Uhl",0
"Jonas Barth",2
"Jonas Guth",6
"Jonas Mayer",6
"Jonas Ringeisen",20
"Jonas Schales",55
"Jonas Schaum",5
"Jörg Ecker",2
"Joshua Bullacher",8
"Joshua Jacobsen",0
"Joshua Petry",0
"Joshua Rischar",5
"Joshuar Jacobsen",0
"Julian Braun",6
"Julian Cornelius",2
"Julian Eisel",4
"Julian Käufling",54
"Julian Torbing",23
"Jürgen Zangi",7
"Justus Birk",6
"karsten rosar",1
"Karsten Roser",14
"Kevin Biehl",2
"Kim-Thanh Hoffmann",17
"Klaus Hänisch",19
"Lars Gräbel",21
"Lars Lambert",8
"Lars Meyer",0
"Leon Ritterböck",4
"Leon Veith",23
"Lukas Berger",0
"Lukas Gebhardt",32
"Lukas Keßler",13
"Lukas Knehr",55
"Lukas Schmidt",55
"Lukas Siegwardt",2
"Maik Zahm",26
"Manuel Roth",0
"Marc Geble",5
"Marc Henrich",11
"Marcel Eli",1
"Marco Becker",35
"marcus eisel",32
"Marcus Geidel",35
"Mario Zins",34
"Marius Guckert",19
"Mark Kopietz",29
"Markus Schaack",0
"Marti Knoll",0
"Martin Knoll",18
"Martin Meinhard",47
"Martin Möhrle",29
"Martin Weinmann",13
"Marvin Decker",3
"Marvin Horst",0
"Marvin Uhland",0
"Mathias Uhlig",4
"Matthias Becker",3
"Matthias Enrico",4
"Matthias Immesberger",0
"Matthias Puth",7
"Maximilian Rammo",2
"Maximilian Teich",0
"Michael Eich",43
"Michael Mathieu",88
"Michael Neuhäuser",1
"Michael Schaum",34
"Michael Schwan",3
"Michael Staudter",1
"Michael Wagner",3
"Mike Hatzlhoffer",53
"Mike White",23
"Mirco Frank",42
"Nico Gräber",6
"Niklas Groben",10
"Niklas Meiser",30
"Nils Weber",5
"Olaf Zimmer",31
"Oliver Welker",0
"Pascal Kossmann",2
"Pascal Licup",7
"Patric Landes",2
"Patrick Michel",5
"Patrick Pfeiffer",11
"Peter Hess",7
"Peter Jungblut",4
"Peter Lang",0
"Peter Marx",40
"Peter Schmidt",13
"Peter Westrich",8
"Philipp Baus",3
"Philipp Rebmann",11
"Philippe Röhlinger",0
"Rainer Stolz",9
"Ralf Wunn",3
"Rebmann Phillip",1
"Robert Gogolok",18
"Roman Kolepp",4
"Sascha Erbelding",14
"Sascha Herber",2
"Sebastian Herp",1
"Sebastian Kilthau",22
"Sebastian Ruppert",38
"Sebastian Schneider",0
"Sebastian Strauch",3
"Sebastian Wainer",10
"Sebastian Weisenseel",34
"Sebastian Westrich",2
"Simon Meyer",7
"Simon Rosinus",4
"Stefan Gebhardt",6
"Stefan Roth",0
"Stefan Trenz",6
"Stephan Kuckartz",0
"Stephan Wendling",66
"Sven Backes",3
"Sven Bost",1
"Sven Hoffmann",10
"Sven Müller",25
"Thomas Becker",3
"Thomas Werner",83
"Thorsten Deutsch",18
"Thorsten Hoffmann",16
"Thorsten Wadle",0
"Thorsten Walle",29
"Tim Eder",2
"Tim Haag",8
"Tim Weber",5
"Timo Krapf",8
"Timo Weis",0
"Tobias Frei",7
"Tobias Henrikus",0
"Tobias Küß",2
"Tobias Michel",15
"Tom Herges",3
"Torben Freyler",21
"Warott Vibulakalphan",37
"Wendel Benjamin",3
"Wladimir Ostrouschko",8
"Yannic Keßler",1
"Yannick Cordes",5
"Yannick Hellriegel",1
"Yannick Mangold",33
"Yannik König",2
"Yannis Karl",4
