"Name","Tore"
"Aaron Prisson",113
"Adrian Montag",27
"Alexander Becker",1
"Alexander Ettelbrück",1
"Alexander Hewener",0
"Alexander Klein",3
"Alexander Kundi",8
"Alexander Spies",22
"Andrè Gresser",9
"Andre Zenner",9
"Andreas Bach",34
"Andreas Brodback",118
"Antonin Hlupic",22
"Arne Peitsch",13
"Artur Pazur",2
"Axel Czuck",4
"Axel Koch",26
"Bastian Liedtke",21
"Benedikt Maas",19
"Benedikt Selzer",72
"Björn Leinenbach",2
"Carsten Müller",2
"Carsten Schneider",1
"Carsten Wernet",33
"Chris Leinen",11
"Christian Baur",0
"Christian Becker",8
"Christian Haser",3
"Christian Johann",9
"Christian Leinen",27
"Christian Milde",0
"Christian Schneide",2
"Christian Schneider",49
"Christian Unger",0
"Christoph Brettar",1
"Christoph Meyer",33
"Christopher Ballof",35
"Christopher Lee",4
"Christopher Spross",1
"Claude Krein",24
"Claus Greiber",0
"Clemens Biesel",2
"Daniel Adolph",4
"Daniel Bubel",1
"Daniel Mohr",0
"Daniel Zehrden",1
"Darryl Jakobs",0
"David Eckstein",9
"David Molitor",8
"David Spindler",0
"Denis Brandt",10
"Denis Simon",0
"Dennis Jager",30
"Dennis Kratz",0
"Dennis Simon",4
"Dieter Niederau",10
"Dirk Heinen",0
"Dirk Joris",12
"Domenique Zitte",1
"Dominik Britten",39
"Dominik Kasper",11
"Dominik Sautter",0
"Dominik Steuer",12
"Dominik Weber",57
"Donatas Vaitekunas",5
"Eduard Lilienthal",1
"Elias Harth",1
"Elias Hoff",4
"Eric Ludwig",7
"Eric Rubert",8
"Etienne Dick",52
"Fabian Engels",29
"Fabian Fritz",17
"Fabian Scher",21
"Fabian Steffen",41
"Fabio Campana",14
"Fabio Massimino",38
"Falk Grommes",3
"Felix Brinkmann",11
"Felix Lampen",12
"Floran Groneberg",14
"Florian Dittgen",32
"Florian Zipfel",2
"Frank Scherer",0
"Franz Steffen",5
"Freddy Schiafone",16
"Frederick Anton",69
"Fuchs Benni",4
"Gerome Reuter",24
"Hamdani Habib",41
"Harald Rupp",44
"Haythem Arfaoui",43
"Henning Wagner",47
"Hoang Lich",45
"Holger Busche",3
"Holger Schmidt",0
"Jan Escher",14
"Jan Maurer",21
"Jan Weber",0
