"Name","Tore"
"Aaron Schneider",2
"Aaron Schork",0
"Aaron Störmer",41
"Adrian Recktenwald",18
"Alexander Bernardy",83
"Alexander Dreier",0
"Alexander Hewener",6
"Alexander Schwarz",6
"Alexandru-Stelian Soica",0
"Andrè Gresser",10
"Andre Steger",16
"Andreas Adam",19
"Andreas Barbian",9
"Andreas Gräf",84
"Andreas Meyer",23
"Andreas Röder",3
"Andreas Schneider",25
"Andree Steger",6
"Andrej Kessler",1
"Armin Scheer",2
"Arweiler Leon",2
"Arweiler Tillmann",4
"Axel Koch",5
"Baraa Mosattat",0
"Benjamin Kirsch",3
"Benjamin Sauder",7
"Carmelo Nicotra",5
"Carsten Müller",29
"Carsten Rupp",1
"Cedric Lauer",29
"Christian Detampel",2
"Christian Johannes",0
"Christian Jungbluth",3
"Christian Kammer",1
"Christian Lambert",27
"Christian Quintes",11
"Christian Tregan",18
"Christian Tregnan",5
"Christoph Kammer",4
"Christoph Lebold",6
"Christoph Scheffler",0
"Christopher Persch",27
"Claude Krein",0
"Daniel Gräf",13
"Daniel Hahn",0
"Daniel Jäcker",15
"Daniel Johannes",0
"Daniel Neurohr",0
"Daniel Schröder",15
"Daniel Thräm",0
"David Eckert",0
"David Eckstein",0
"David Hoffmann",32
"David Schnur",1
"Denis Karrenbauer",6
"Dennis Dönig",50
"Dietmar Kühnel",11
"Dirk Heller",2
"Dirk Lübeck",31
"Dirk Pfeiffer",9
"Dirk Viehmann",0
"Dominic Falk",1
"Dominik Britten",6
"Dominik Gehl",0
"Dominik Klein",15
"Dominik Risch",0
"Dominik Sautter",7
"Dominique Cartus",36
"Dominique Zitte",0
"Eduard Lilienthal",0
"Eric Jakobs",0
"Erik Brill",37
"Fabian Engels",140
"Fabian Löffler",16
"Fabian Roth",52
"Fabian Scher",17
"Fabio Castronovo",8
"Felix Bick",16
"Felix Lampen",38
"Felix Scherhag",9
"Felix Schuder",27
"Felix Serwe",0
"Felix Wartenpfuhl",62
"Floran Groneberg",3
"Florian Dittgen",1
"Florian Meyer",6
"Florian Schoppe",0
"Frank Busch",0
"Frederic Herber",89
"Gerion Maus",1
"Gian-Luca Tartoni",0
"Giuseppe Coco",46
"Hamdani Habib",10
"Haythem Arfaoui",3
"Heiner Buchheit",17
"Hendrik Balthasar",3
"Henning Huberty",8
"Hideo Sato",10
"Holger Schmidt",12
"Ibrahim Mohamed",63
"Ibrahim Mukladzija",9
"Jan Ambos",28
"Jan Maurer",1
"Jan Rene",0
"Jan-Oliver Montag",3
"Jan-Philippe Parent",3
"Jannik Mertes",0
"Jannis Prinz",8
"Joachim Portz",24
"Johannes Braunshausen",8
"Johannes Rauch",32
"Jonas Kollmannsperger",21
"Jonathan Welsch",19
"Jörg Thönes",3
"Jörg Waerder",2
"Jorge Oevermann",44
"Joschka Grossmann",42
"Joshua Herrmann",2
"Jürgen Meßner",19
"Karsten Kattla",4
"Kevin Motsch",19
"Kevin Otto",5
"Kevin Schuler",61
"Kevin Windisch",8
"Kim Jo",0
"Lars Kron",28
"Lars Meyer",0
"Lars Weiland",0
"Laszlo Kincses",14
"Laurin Poro",3
"Leo Hahn",10
"Leon Marcel",0
"Leonard Schikofski",25
"Leonhard Arweiler",11
"Linus Halberstadt",18
"Luca Echternach",6
"Lucas Jost",0
"Luka Jaric",4
"Lukas Bennoit",78
"Lukas Fischer",11
"Lukas Henkel",0
"Lukas Köppen",66
"Lukas Koschorke",0
"Lukas Richter",0
"Lukas Schulligen",2
"Lukas Schwindling",8
"Lukas Theobald",3
"Maik Wiltz",11
"Malte Niemarkt",0
"Marc Ambos",12
"Marc Boßmann",3
"Marc Jung",36
"Marc Lübeck",84
"Marc Müller",6
"Marc Schlachter",70
"Marcel Rodrigue",83
"Marco Lauer",21
"Marco Lonsdorfer",1
"Marcus Scherer",8
"Marius Dobrajc",18
"Marius Jakobs",15
"Markus Hell",34
"Markus Löffler",77
"Markus Putze",0
"Markus Scherer",3
"Markus Weber",0
"Marlon Koch",28
"Martin Benteyn",0
"Martin Jaedicke",4
"Marvin Horst",21
"Marvin Theobald",0
"Matthias Brauch",7
"Matthias Diwersy",16
"Matthias Enrico",25
"Matthias Eßling",14
"Matthias Hoffeld",0
"Matthias Lermen",64
"Matthias Segner",29
"Maurice Scheu",39
"Max Backes",3
"Max Engel",11
"Maxim End",5
"Maximilian Hein",44
"Maximilian Krieger",19
"Micha Zimmer",59
"Michael Klein",0
"Michael Kreutz",9
"Michael Laval",17
"Michael Repplinger",31
"Michael Rosar",5
"Michael Scheib",89
"Michael Schmidt",1
"Michael Sklar",14
"Michael Stark",2
"Michel Stark",15
"Mike Pauly",0
"Mike Schäfer",31
"Mitch Jansen",1
"Moritz Brünjes",0
"Moritz Helfen",53
"Moritz Wies",77
"Nico Heidweiler",16
"Nico Vanoli",0
"Nicolas Adam",0
"Nicolas Poncelet",6
"Nikolas Spröder",28
"Noah Elias",5
"Norman Kelkel",58
"Norman Neu",1
"Oliver Kempf",22
"Oliver Keßler",25
"Oliver Prinz",37
"Oliver Schmitt",12
"Pascal Neumann",8
"Pascal Reinert",1
"Pasquale Andolina",0
"Patric Turner",0
"Patrick Gerath",47
"Patrick Klein",0
"Patrick Mattina",16
"Patrick Nicola",26
"Paul Rump",20
"Peter Meiers",9
"Philipp Endres",3
"Philipp Haffner",10
"Philipp Hertweck",2
"Philipp Rebmann",18
"Philipp Stalter",4
"Poncelet Nicholas",0
"Raphael Klippert",1
"Richard Ickes",5
"Robert Freidich",8
"Robert Steier",0
"Robin Scherchel",0
"Rudolf Siegel",47
"Sascha Becker",1
"Sascha Herber",8
"Sebastian Johannes",27
"Sebastian Lamber",5
"Sebastian Pink",16
"Sebastian Zapp",5
"Simon Bessey",13
"Simon Schmal",0
"Stefan Birk",3
"Stefan Hewener",0
"Stefan Marx",0
"Stefan Rugullies",2
"Steffen Haack",4
"Steven Gersing",0
"Sven Fackert",27
"Sven Hendle",6
"Tarek Becker",0
"Thomas Jakobs",4
"Thomas Jeske",0
"Tim Donate",8
"Tim Kern",63
"Tim Wiedmer",9
"Timo Schmitt",15
"Timo Schnur",52
"Tobias Adam",7
"Tobias Lorscheider",42
"Tobias Troike",7
"Uwe Platz",9
"Vadym Tarasov",8
"Vadym Tarassov",0
"Vadym Taresov",1
"Vadym Tasarov",1
"Vitali Kolmakov",0
"Wolfgang Braun",0
"Yannick Belieres",13
"Yannick Kiefer",0
"Yannick Rech",1
"Yves Pauly",5
