"Name","Tore"
" TV",115
"Aaron Schleidweiler",55
"Abdelaziz Helaoui",53
"Adrian Cristescu",7
"Adrian Taday",0
"Ahmed Abdulla",12
"Alexander Backes",53
"Alexander Dörr",0
"Alexander Dreier",0
"Alexander Hewener",1
"Alexander Saunus",102
"Alexander Winkel",0
"Andre Rebholz",0
"Andreas Altmeyer",33
"Andreas Becker",0
"Andreas Dahmen",35
"Andrius Zigelis",116
"Armin Henke",18
"Arne Teschner",77
"Bastian Wendling",36
"Bastian Wilbrandt",16
"Ben Wetstein",2
"Benedikt Berz",0
"Benjamin Jusufbegovic´",13
"Benjamin Oster",0
"Benjamin Treiber",65
"Benjamin Zellmer",103
"Björn Boinski",0
"Carsten Müller",0
"Carsten Wenzel",25
"Christian Kosel",0
"Christian Offermann",119
"Christian Schaub",34
"Christian Schröder",61
"Christoph Holz",84
"Christoph Räder",0
"Christoph Raeder",0
"Christoph Senzig",3
"Christopher Huber",39
"Christopher Klee",76
"Clemens Jung",0
"Daniel Hörner",12
"Daniel Schüller",0
"Daniel Thilmann",24
"Daniel Zourek",82
"Darren Weber",125
"David Lütkemeier",9
"David Pfiffer",40
"Dejan Dobardzijev",8
"Dennis Berndt",0
"Dennis Rohmann",0
"Dominic Hopp",19
"Dominik Baucke",25
"Dominik Rifel",36
"Dominik Robert",1
"Dominik Stein",6
"Eike Rigterink",35
"Ellias Bjötgvin",0
"Eric Bolomsky",17
"Erik Zilincik",33
"Fabian Engels",16
"Fabian Graap",47
"Fabian Quandt",8
"Fabian Schmitt",13
"Fabian Schmitz",1
"Fabian Serwinski",22
"Fabian Wecker",10
"Felix Dettinger",9
"Felix Faller",115
"Felix Kadow",0
"Felix Kästel",38
"Felix Kunz",80
"Felix Müller",0
"Finn Engelmann",16
"Finnian Lutze",66
"Florian Fleckenstein",1
"Florian Hedderich",0
"Florian Lipp",34
"Florian Sturm",10
"Florian Treiber",0
"Frederik Bohm",37
"Georg Ebel",23
"Gilles Ehrman",43
"Graap Fabian",4
"Hagen Gutland",0
"Hendrik Balthasar",38
"Henning Huber",2
"Henrik Walb",84
"Henry Hofmann",5
"Holger Schmidt",0
"Jacob Brauns",20
"Jacob Schleier",16
"Jan Felix",32
"Jan Gabrys",0
"Jan Hochgesand",0
"Jan Hommen",124
"Jan Röckendorf",37
"Jan Simgen",1
"Janik Adamo",0
"Janik Adenau",11
"Janik Kunz",2
"Janis Hafer",41
"Jannick Flockerzi",0
"Jannick Stromberg",0
"Jannik Grunau",32
"Jannis Werner",0
"Jim Sander",39
"Jochen Schloß",82
"Johannes Fröhlich",0
"Johannes Sturm",25
"Jonas Busch",0
"Jonas Guther",40
"Jonas Mayer",8
"Jonas Scheiring",0
"Jonas Strüder",27
"Jordi Neumann",0
"Joshua Albert",14
"Joshua Rudolf",0
"Julian Pozywio",34
"Julian Vogt",88
"Julius Herbert",87
"Julius Michel",9
"Julius Werber",46
"Kai Diehl",58
"Kalani Schmidt",47
"Karim Ketelear",1
"Kevin Bullenkamp",0
"Kevin Hinsberger",0
"Kevin Knieps",120
"Kevin Neufurth",1
"Kevin Spreda",2
"Kian Schwarzer",48
"Kilian Kötz",10
"Konstantin Herbert",81
"Korab Mulliqi",7
"Lars Kron",0
"Lars Lemmert",0
"Lars Rieder",22
"Laszlo Sebastian",42
"Laurin Poro",7
"Leon Krechel",14
"Leonnard Pfeil",61
"Loic Laurent",5
"Luca Hochstetter",24
"Luca Korbion",1
"Luca Steinführer",30
"Lucas Freimuth",25
"Lukas Bang",7
"Lukas Fühles",1
"Lukas Hertz",69
"Lukas Klein",66
"Lukas Klimavicius",3
"Lukas Münz",40
"Lukas Nagel",88
"Malte Fidelak",35
"Manuel Kühn",50
"Manuel Werber",64
"Marc Pingen",0
"Marc Schleich",4
"Marc-Robin Eisel",119
"Marcel Andre",5
"Marcel Becker",100
"Marcel Deege",16
"Marcel Schenk",0
"Marcel Trierweiler",13
"Marco Binnes",0
"Marco During",24
"Marco Holstein",104
"Marco Palzer",0
"Marian Metz",8
"Mario Fuchs",3
"Mario Percin",0
"Marius Merziger",53
"Marko Ivankovic",1
"Marko Mrsic",50
"Markus Hoff",1
"Markus Metzdorf",37
"Markus Seitz",0
"Markus Sieben",9
"Martin Langen",72
"Martin Mokris",103
"Martin Scherschlicht",0
"Martin Schieke",28
"Marvin Klein",22
"Marvin Martin",0
"Marvin Mebus",9
"Marvin Seyfried",49
"Mathias Faust",0
"Mathias Konrad",73
"Matthias Kassel",20
"Matthias Reuber",1
"Maurice Lahm",0
"Maurice Lamotte",73
"Max Heringer",0
"Max Mees",123
"Maxime chambon-bergeron",0
"Maximilian Daum",68
"Maximilian Dettinger",32
"Maximilian Grethen",167
"Maximilian Luth",0
"Maximilian Schreiber",94
"Maximilian Schubert",18
"Maximilian Seibel",7
"Maximilian Staats",35
"Maximilian Wetstein",2
"Mehmet Süngü",21
"Merlin Busse",79
"Michael Betz",34
"Michael Gornas",3
"Michael Mann",0
"Michael Zirkel",0
"Milos Tesanovic",1
"Mohamed Ijmik",6
"Moritz Brestrich",27
"Moritz Dörr",0
"Moritz Happersberger",55
"Moritz Klapdohr",45
"Moritz Michel",0
"Moritz Schlesinger",38
"Muhamet Durmishi",17
"Nicholas Balthasar",39
"Nick Beutler",5
"Nico Bader",0
"Nico Eichholtz",1
"Nico Klein",1
"Nicolas Grimm",2
"Niklas Bayer",61
"Niklas Hoff",91
"Niklas Kiefer",0
"Niklas Klein",4
"Niklas Maximilian",34
"Niklas Weißbrod",2
"Nikolas Räuber",17
"Nils Becker",10
"Nils Freiwald",2
"Nils Lorenz",0
