"Name","Tore"
"Alexander Herzig",7
"Aliaksandr Piatrovich",2
"Aliaksei Gaiduk",1
"Aliaksei Karneichuk",5
"Andrei Pushkin",4
"Baldur Gillason",11
"Benedict Haubeil",0
"Bjarni í",3
"Bogi Hansen",1
"Brandur Silvurstein",0
"Brent Riksten",5
"Christiano Olivace",1
"Daniil Bely",0
"Elias á",15
"Fabian Becker",3
"Florian Westrich",7
"Hákun Vest",17
"Ids Eussen",17
"Ihar Bialiauski",6
"Janik Zundert",6
"Jannik Reinshagen",9
"Jasper Peters",1
"Jens Dijkstra",0
"Jeromy Ban",3
"Jesse Linden",8
"Johannes Knoll",3
"Julien Bro",0
"Kaj Geenen",6
"Kanstantsin Kavaliou",0
"Kiryl Kolas",0
"Kiryl Samoila",25
"Konrad Wagner",17
"Kristoffur Bjørgvin",4
"Lennart Poncelet",3
"Marvin Schug",2
"Mika Schoolmeesters",0
"Mikita Kinl",6
"Morris Kippers",2
"Nico Becker",0
"Niko Blaauw",16
"Ovi Lützen",0
"Pauli Mittún",6
"Ragnar Karlsson",1
"Raman Laurenau",3
"Rói Ellefsen",4
"Sakir Tróndarson",0
"Samir Altpeter",3
"Silas Vang",1
"Stanislau Sadouski",9
"Sveinur Olafsson",6
"Teitur Mouritson",0
"Teun Krol",2
"Thibaud Groot",3
"Thomas Houtepen",1
"Tim Altmeyer",2
"Tim Dax",1
"Tim Zonneveld",7
"Tom Schlicker",5
"Uladzislau Haidel",2
"Viktor Johan",10
"Vincent Hein",0
"Yan Sabko",12
"Yauhen Ladutska",6
"Yauheni Charniauski",5
