"Name","Tore"
"Aaron Winkelhoff",0
"Aljoscha Becker",26
"Andre Dietrich",9
"André Pitthan",37
"Arved Horchheimer",53
"Bastian Schmidt",10
"Ben Brednich",11
"Ben Kölsch",63
"Benedikt Lahr",93
"Christién Schneider",0
"Colin Prieber",3
"Colin Rummel",0
"Daniel Schneider",0
"David Fokken",17
"David Manske",10
"Denis Milosavljevic",31
"Dennis Buchner",0
"Dominik Aatz",31
"Elias Fiechtner",30
"Elias Rudolf",25
"Elyas Noh",65
"Erik Schopp",0
"Etienne Berg",0
"Fabian Becker",26
"Fabian Mai",5
"Fabian Schwarzer",71
"Fabian Stumpf",0
"Felix Florian",1
"Felix Hammes",0
"Felix Jutzi",0
"Felix Kaiser",12
"Felix Krining",1
"Felix Rothardt",45
"Felix Wolfanger",6
"Felix Wolfganger",2
"Felix Zech",36
"Finn Albright",1
"Finn Dotzauer",28
"Finn Martin",52
"Finn-Luca Bauer",16
"Finnian Swarowsky",4
"Florian Filippi",3
"Fynn Corcilius",15
"Fynn Larres",0
"Gil Kunkel",1
"Hendrik Stromberg",0
"Henning Marx",16
"Ivan Daniel",1
"Jacob Ullmann",92
"Jakob Schaum",0
"Jan Sauerwein",14
"Jan Seibert",20
"Jan-Luca Krömer",26
"Jan-Ole Schimmel",20
"Jannis Schild",7
"Jared Kelly",0
"Jens Boßlet",35
"Johannes Köster",44
"Johannes Schramm",27
"Jona Fink",34
"Jona Rietz",58
"Jona Rogawski",1
"Jonah Biehl",0
"Jonas Bornmann",3
"Jonas Kewenig",12
"Jonas Viviani",2
"Joshua Reitz",49
"Joshua Schöneberger",43
"Julian Becker",31
"Julian Hügel",25
"Julian Schäfer",0
"Keno Bjarne",0
"Konrad Wagner",77
"Lars Bräuer",0
"Lars Fischer",0
"Lars Friedmann",0
"Laurin Karrenbauer",2
"Lennart Karrenbauer",27
"Leo Schumacher",3
"Leon Back",0
"Leon Veselaj",12
"Leonard Bungert",0
"Levin Bohn",0
"Louis Auster",26
"Louis Radics",22
"Luca Hess",33
"Luca Mariani",3
"Luca Stenger",45
"Luis Enrique",12
"Luis Friedrich",0
"Luis Henkel",0
"Lukas Kessel",99
"Lukas Schui",25
"Lukas Wesche",1
"Lukas-Aldar Emmel",29
"Malte Dorra",89
"Malte Wolf",37
"Marco Brügel",8
"Marco Jöst",22
"Marcus Döpp",4
"Marian Graff",8
"Marko Grgic",141
"Markus Döpp",0
"Marlon Werner",9
"Marvin Buch",58
"Matteo Pusceddu",55
"Maurice Bendjeddou",0
"Mauro Neu",11
"Max Dotterweich",45
"Max Schleier",3
"Max Weber",6
"Maximilian Kroner",7
"Maximilian Schikofski",13
"Maximilian Wald",0
"Mika Helf",37
"Moritz Burmeister",0
"Moritz Crummenauer",0
"Moritz Eis",68
"Moritz Kessler",37
"Moritz Reuter",84
"Moritz Schulz",49
"Niclas Josten",74
"Nico Becker",70
"Nico Simon",0
"Niklas Ernst",5
"Niklas Glindemann",77
"Niklas Ihmer",130
"Niklas Thiede",14
"Nils Frisch",0
"Noah Scherschel",0
"Noah Weinand",19
"Noi Arnarsson",0
"Osian Stoltz",7
"Pascal Schöneck",47
"Patrick Ahollinger",1
"Paul Frey",28
"Paul Kunkel",64
"Paul Rutz",0
"Paul Schleier",8
"Peter Gohl",35
"Philip Wichmann",11
"Philipp Abel",0
"Philipp Alt",48
"Philipp Baro",98
"Philipp Hettesheimer",0
"Philipp Osterhagen",10
"Robin Fuchs",0
"Rouven Schneider",13
"Samuel Di",6
"Samuel Winter",42
"Sebastian Heß",0
"Simon Flesch",38
"Simon Rudolph",0
"Simon Schneider",2
"Simon Speth",17
"Thorben Hofmann",0
"Til Crummenauer",0
"Till Schenkel",89
"Tim Altmeyer",61
"Tim Daniel",0
"Tim Härtig",0
"Tim Hemmerle",108
"Tim Müller",5
"Tim Stalliegs",0
"Tobias Kurz",86
"Tom Jäger",2
"Tom Luca",17
"Tom Schackmann",50
"Tom Schlicker",69
"Torben Edelweiss",0
"Vincent Schöneberger",36
