"Name","Tore"
"Alessandro Andolina",0
"Alexander Momber",4
"Ben Neate",0
"Elias Behr",0
"Elias Dörr",0
"Elias Rupp",0
"Felix Molecki",7
"Florian Woock",2
"Fynn Waerder",4
"Jan-Luca Geber",0
"Johannes Alt",0
"Jonas Kipp",0
"Jonas Wirth",0
"Justin Nieweling",0
"Karl Commercon",0
"Karsten Meeusen",0
"Kevin Speich",3
"Kilian Osbild",8
"Lars Ressing",2
"Laurin Karrenbauer",9
"Lennard Spies",0
"Lennart Karrenbauer",6
"Leon Bernardy",9
"Luca Zapp",0
"Lukas Peifer",2
"Lukas Spath",3
"Manuel Kirschweng",10
"Max Josten",0
"Micha Schröder",0
"Mirco Scroppo",1
"Moritz Bender",0
"Moritz Zenner",0
"Nico Honecker",0
"Nils Goldau",0
"Noa Zeimet",5
"Noah Meßner",7
"Oscar Luis",0
"Oskar Czertowicz",12
"Paul Bauer",10
"Paul Blass",0
"Paul Broßius",0
"Philipp Duchêne",0
"Ricardo Ehl",2
"Robert Schmidt",0
"Salvatore Marino",0
"Silas Geis",0
"Silas Zimmer",0
"Simeon Holzer",1
"Tom Schmitt",0
