"Name","Tore"
"Alexander Schirra",2
"Alexander Zwing",6
"Dario Monachino",6
"Dariyan Werle",1
"Davide Castronovo",10
"Dominik Keller",7
"Dustin Clemens",1
"Eliah Gschneidner",0
"Elijah Boumediene",3
"Emilio Quaranta",0
"Felix Klein",1
"Hector Gand",2
"Jacob Wiesen",0
"Jakob Domma",0
"Jannis Dreimann",0
"Janus Vincent",4
"Julian Schettle",1
"Julius Klein",0
"Justin Leon",1
"Kai Weingardt",3
"Lennard Sauer",2
"Lennard Schumacher",6
"Leo Hoffmann",0
"Leo Röer",0
"Leon Scheffler",5
"Louis Wöffler",6
"Luca Bost",2
"Marko Jelicic",9
"Marlon Rodener",2
"Marvin Esser",0
"Mathis Goldau",0
"Matthis Lux",1
"Michael Krimmel",0
"Nikita Rakhimov",6
"Nils Becker",6
"Noah Becker",0
"Paul Oscar",0
"Pirmin Schneider",0
"Rufus Hütt",3
"Simeon Holzer",10
"Simon Mathis",0
"Tim Weingardt",6
"Tobias Westrich",11
"Tronje Schröder",0
