"Name","Tore"
" TV",42
"Alena Saktan",97
"Alena Saktan-Muniz",3
"Alessia Völker",1
"Alissa Katarina",101
"Alyssa Mrabet",0
"Amelie Blösch",10
"Amelie Speich",0
"Anabelle Picot",36
"Angelina Tomal",0
"Ann-Kathrin Gemar",0
"Anna Awender",88
"Anna Biegner",100
"Anna Simon",0
"Anna Sommer",9
"Anna Straß",35
"Anne Thierfelder",79
"Asja Geis",27
"Barbora Zigraiova",0
"Beyzanur Özcelik",15
"Carolin Marie",24
"Cecile Lochnit",1
"Celina Best",0
"Celina Orth",45
"Chantal Wagner",0
"Charlotte Gab",10
"Charlotte Krauß",1
"Charlotte Paul",24
"Christel Stolz",7
"Clara Jurga",0
"Daniela Gerlich",0
"Elena Graf",46
"Elena Rademacher",0
"Eliana Alemanno",36
"Emily Krawietz",0
"Emma Grub",69
"Erza Hajrizi",4
"Eva Kiesow",10
"Fabienne Pahle",1
"Fee Mosch",31
"Franziska Görth",1
"Franziska Schmeer",3
"Gianna Burgio",0
"Greta Karoline",53
"Hannah Hurth",85
"Hannah Lieser",27
"Hannah Müller",21
"Hannah Weiß",48
"Henriette Mann",29
"Isabell Brinster",0
"Jana Michelle",47
"Jaqueline Hörner",2
"Jennifer Kaltschmidt",0
"Joelle Wagner",0
"Johanna Blaum",15
"Johanna Lex",10
"Josefine Berends",16
"Josephine Schmidt",49
"Jula Koopmann",53
"Karla Kehrein",24
"Katharina Blaum",33
"Katharina Feigel",0
"Katharina Fischer",27
"Katharina Gauch",8
"Katharina Sophie",21
"Katharina Zangerle",42
"Kimberly Braun",26
"Klara Brödel",0
"Kyra Sommer",12
"Lara Zapf",10
"Laura Pavicic",52
"Lea Lorenz",15
"Lea-Marie Teske",0
"Leah Kreiselman",58
"Leann Sophie",23
"Lejla Carkadzija",21
"Lena Berger",6
"Lena Beßler",0
"Lena Gantner",43
"Lena Hook",20
"Lena Müller",0
"Lena Rinnenburger",4
"Lena Wagenknecht",13
"Leni Heil",32
"Lenia Jödicke",17
"Leonie Koca",25
"Leonie Schönfeld",18
"Leyla Semar",0
"Lia Roos",7
"Lilli Knüver",2
"Lina Schilling",5
"Lina-Marie Janssen",0
"Lisa Conradi",1
"Lisa Kohrt",15
"Lisa Sophie",22
"Lisanne Günther",48
"Lucia Zeh",2
"Madeleine Schäfer",46
"Mailin Braun",12
"Mara Hartmann",6
"Mara Sturm",10
"Maren Heber",4
"Marie Hurth",20
"Marie Lanzerath",2
"Marie Schmitt",30
"Marie Thierfelder",65
"Marietta Tigl",0
"Marlin van",6
"Melisa Zeynel",0
"Mia Blösch",12
"Michelle Schmalz",2
"Miriam Kleber",4
"Mona Lütke",17
"Muriel Frisch",4
"Neele Stelter",56
"Nele Spengler",7
"Nina Czanik",73
"Nina Giel",1
"Paula Anna",0
"Paula Hack",91
"Paula Waldenberger",49
"Pauline Lebenstedt",35
"Pauline Tam",32
"Pauline Wolffersdorf",13
"Raquesa Viano",13
"Réka Németh",1
"Romina Tullius",73
"Ronja Ferber",1
"Rosa Kehrein",16
"Sandra Pastushok",27
"Sarah Kaden",6
"Sarah Kohrt",23
"Sarah Rech",69
"Sarah Riveiro",1
"Sarina Westhöfer",45
"Saskia Tabea",3
"Shahrzad Tamizi",10
"Sonja Faust",1
"Sophie Wohn",0
"Stella Heuper",3
"Stina Johanna",0
"Svenja Reuther",16
"Tabea Mager",85
"Tabea Picabo",18
"Tessa Ebert",50
"Valentine Pott",24
"Victoria Schäfer",85
"Viviane Schranz",46
"Ylea Winter",107
"Zoe Bollenbach",13
"Zoe Cosima",22
