"Name","Tore"
"Amelie Schneiderlöchner",4
"Anna Sommer",1
"Anna Straß",6
"Aytennur Aydin",0
"Carolin Marie",3
"Charlotte Buchheit",8
"Christel Stolz",1
"Emily Krawietz",0
"Emma Grub",0
"Emma-Marie Kass",0
"Evelyn Schirin",0
"Finnja Waller",0
"Franziska Schmeer",1
"Hannah Hurth",18
"Hannah Kolb",0
"Jana Schneiderlöchner",1
"Jolien Wilkin",0
"Kaja Trost",2
"Katharina Sophie",2
"Katharina Zangerle",14
"Lea Lang",12
"Lejla Carkadzija",2
"Leonie Koca",4
"Leyla Semar",0
"Lia Ullinger",0
"Lisa Sophie",5
"Lisanne Günther",8
"Mailin Braun",0
"Marie Philippi",0
"Paula Maria",3
"Pauline Tam",4
"Saphy Erika",3
"Sarah Rech",2
"Saskia Tabea",1
"Stella Heuper",2
"Tabea Mager",10
"Teja May",2
"Teodora-Amalia Isac",0
"Viviane Schranz",8
