"Name","Tore"
"Alina Ehm",8
"Alina Marie",17
"Alisha Stauder",2
"Alisha Staudter",0
"Alisha-Chantal Staudter",0
"Amelie Busert",0
"Amelie Marie",10
"Amelie Schneiderlöchner",35
"Amelie Sellier",12
"Anaïs Djingou",28
"Anna Lena",0
"Anna-Lena Höchst",11
"Annika Hinsberger",41
"Annina Becker",15
"Aurelia Brennauer",12
"Aylin Spieß",1
"Aytennur Aydin",0
"Carina Schaum",4
"Carolin Kirsch",3
"Carolin Marie",21
"Chayenne Willmes",0
"Chiara Reinsch",14
"Colleen Reiter",5
"Denise Enzweiler",0
"Emily Weber",34
"Evelyn Schirin",10
"Fabienne Balzer",35
"Fabienne Fixemer",31
"Fabienne Krämer",15
"Finnja Waller",0
"Flora Schwarz",6
"Florine Schmeer",60
"Franka Straßburger",0
"Halima Alhamid",7
"Hannah-Lorena Dörr",3
"Jamie Gröning",1
"Jana Schneiderlöchner",1
"Jasmin Chourabi",2
"Jo-Ann Buchholz",0
"Johanna Schröder",2
"Jolie Reimsbach",12
"Jolien Wilkin",14
"Josefine Thieser",0
"Jule Busche",1
"Katharina Tschekmenew",0
"Kiera Frank",0
"Laila Arrache",6
"Lara Port",2
"Lara Strempel",23
"Lea Lang",49
"Lea Scherer",0
"Lena Haas",2
"Lena-Sophie Radke",22
"Leni Steffensky",0
"Leonie Meinecke",3
"Louise Steimer",0
"Lucia Lilienthal",5
"Luise Schuler",2
"Marie Enzweiler",0
"Marie Holzer",6
"Marie Kammer",16
"Marie Mathis",53
"Marie Philippi",21
"Marie Sophie",1
"Maya Cheraba",30
"Melina Zapp",4
"Nele Mertes",3
"Nele Stillemunkes",0
"Paula Maria",20
"Paula Weisenstein",30
"Raihana Fouaghla",2
"Raïssa Djingou",0
"Sara Kaschubowski",1
"Sarah Brockhoff",0
"Sofia Schäfer",1
"Tabea Mager",59
"Tabea Ricken",2
"YASMIN Chourabi",0
"Zoe Wagner",39
