"Name","Tore"
"Alena Saktan",1
"Alina Marie",1
"Alissa Katarina",16
"Amelie Marie",1
"Annabelle-Marie Pfeffer",3
"Anne Thierfelder",15
"Annika Hinsberger",2
"Aurelia Brennauer",5
"Bibiana Esther",5
"Charlotte Buchheit",0
"Charlotte Gab",3
"Charlotte Paul",2
"Erza Hajrizi",0
"Eva Kiesow",1
"Fabienne Fixemer",0
"Filine Allmeier",3
"Hanna Wagner",1
"Hannah Müller",4
"Hannah Weißenfels",2
"Henriette Dubois",0
"Jana Michelle",13
"Jessy Marlone",15
"Jule Noh",4
"Jule Teusch",0
"Kyra Sommer",1
"Lambert Amelie",3
"Lara Zapf",3
"Laura Pavicic",13
"Lea Scherer",0
"Leah Kreiselman",3
"Leah Kunze",0
"Lejla Carkadzija",7
"Lena Berger",0
"Leni Schlich",2
"Leonie Müller",4
"Linn Jacobs",0
"Lisa Kohrt",3
"Lukah Braun",2
"Madeleine Schäfer",11
"Maike Wernecke",1
"Maja Schmidt",4
"Maren Heber",2
"Nele Spengler",6
"Nina Czanik",8
"Olivia Seebach",0
"Paula Anna",0
"Romina Tullius",6
"Sara Winkler",1
"Sarah Kaden",1
"Sarah Winkler",0
"Sarina Westhöfer",8
"Stella Knobel",2
"Svenja Reuther",3
"Valentine Pott",0
"Victoria Schäfer",10
"Zoe Bollenbach",2
