"Name","Tore"
"Alexandra Steuer",7
"Alina Bastuck",48
"Aline Theobald",7
"Alisa Hoffmann",2
"Alisa Recktenwald",0
"Ana-Marija Gasparov",0
"Andrea Knapp",22
"Andrea Wahl",8
"Angela Baltes",0
"Angela Schneider",0
"Angelin Zinkgraf",1
"Angelina Zinkgraf",15
"Anke Henning",0
"Anna Gahler",0
"Anna Hartmann",2
"Anna Holzer",0
"Anna Maldener",2
"Anna Maria",4
"Anna Marx",27
"Anna Michaely",19
"Anna Pfeifer",2
"Anna Scheid",4
"Anna Schuwer",10
"Anna Teich",4
"Anna Wiesen",15
"Anna Zimmermann",2
"Anna-Lena Holzer",2
"Anna-Lena Zimmer",2
"Anna-Sophie Zimmermann",13
"Anne Hans",0
"Anne-Kathrin Hartl",3
"Annica Weißmann",0
"Annika Cullmann",1
"Annika Dehne",0
"Annika Geiß",2
"Annika Hunsicker",1
"Annika Hunsiker",3
"Annika Müller",0
"Astrid Seiß",0
"Bettina Schu",3
"Britta Raul",0
"Bruni Rühl",4
"Cara Leismann",2
"Carina Mast",6
"Carolin Lehmann",4
"Caroline Hoffmann",24
"Catarina Wilhelm",2
"Cathrin Steiner",0
"Chiara Melcher",0
"Christiane Kasper",1
"Christin Franz",18
"Christina Berscheid",3
"Christina Eberhardt",38
"Christina Rech",9
"Christina Ryabtsyeva",6
"Christine Brück",9
"Claire-Michelle Kuhn",15
"Claudia Bieg",4
"Claudia Löber",32
"Corinna Emmert",6
"Cyndi Nojack",4
"Daniela Decker",3
"Daniela Karrenbauer",4
"Denise Borchers-Busch",1
"Denise Fink",4
"Denise Mohr",9
"Denise Wiesen",46
"Elena Kupke",0
"Ellen Heer",2
"Ellen Köhne",0
"Ellen Maldener",0
"Emely Schmeier",0
"Emily Hemmerling",2
"Eva Klos",11
"Evelyne Pogodski",0
"Fabienne Breyer",5
"Fabienne Gutsch",0
"Fenja Haag",2
"Franziska Haberer",12
"Franziska Rudel",2
"Franziska Schmitt",0
"Frauke Lengler",12
"Friederike Gärtner",0
"Giulia Kurz",25
"Hanna Wendels",8
"Hanna Zeller",14
"Hannah Herrmann",2
"Hannah Schmitt",19
"Helena Hirsch",0
"Isabelle Lang",26
"Jana Elzer",0
"Jana Honig",20
"Jana Röhrig",0
"Jana Schmidt",3
"Janina Klauck",19
"Janina Werber",1
"Janine Lauermann",2
"Janine Zeiger",6
"Jasmin Stumpf",11
"Jennifer Noll",1
"Jennifer Rebmann",0
"Jessica Klos",0
"Jessica Reul",2
"Joana Thiel",7
"Johanna Steffen",4
"Johanna Weisgerber",40
"Julia Emge",0
"Juliane Mehrwald",7
"Katharina Brück",14
"Katharina Budke",7
"Katharina Huppert",26
"Katharina Schäfer",2
"Katharina Schröder",0
"Kathrin Groß",32
"Kathrin Sauer",3
"Katja Lengler",0
"Kira Wagner",0
"Kira Weber",0
"Kristina Andres",1
"Kristina Kunrath",0
"L'Ralea Mergen",2
"L`Ralea Mergen",6
"Lara Keller",1
"Lara-Marie May",0
"Laura Honig",4
"Laura Schönig",0
"Laura-Marie Dier",8
"Laurin Becker",17
"Lea Henkes",0
"Lea Krämer",9
"Lea Ohlmann",12
"Lea Sophie",0
"Lea-Sofie Schwarz",5
"Lena Johannpeter",38
"Lena Kümmel",2
"Lena Mueller",1
"Lena Müller",3
"Lena Schmitt",7
"Liesa Wagner",12
"Lina Schmidt",15
"Lisa Straub",2
"Lisa-Catrine Schmitting",0
"Lisa-Marie Eder",0
"Louisa Schäfer",0
"Lucy Becker",9
"Luise Baltes",4
"Malin Dier",15
"Mandy Wegert",2
"Mareike Wettmann",8
"Maren Lauer",17
"Marie Bishof",3
"Marie Yasmin",0
"Marie-Christine Krämer",5
"Marie-Sophie Thome",9
"Marina Thilmany",10
"Marlen Lorenz",2
"Maryna Tanousa",4
"Melanie Lang",40
"Melanie Schmitt",0
"Michelle Knorr",3
"Michelle Lauermann",6
"Michelle Meyer",14
"Michelle Rauber",18
"Michelle Schu",0
"Mira Schäfer",18
"Miriam Busch",51
"Monika Dusaux",2
"Nadine Bouillon",25
"Nadine Rita",5
"Nadja Utfeld",0
"Natalie Cartus-Raber",6
"Nele Altmeyer",9
"Nele Guthörl",14
"Nicole Becker-Wast",0
"Nicole Becker-Waste",1
"Nicole Hofmann",0
"Nicole Rech",3
"Nina Bender",0
"Nina Heidemann",4
"Nina Jung",0
"Nina Kannengießer",17
"Nina Kuhn",36
"Nina Strobel",0
"Noelle Heimann",8
"Nora Matheis",7
"Patrice Schunath",0
"Petra Lo",18
"Pia Hoffmann",8
"Ramona Schumacher",25
"Ricarda Landgraf",8
"Ronja Weiler",52
"Sabrina Kraß",5
"Sabrina Müller",7
"Sabrina Rode",5
"Sabrina Schäfer",0
"Sandra Gundert",11
"Sandra Madia",2
"Sandra Nikolai",5
"Sandra Scherer",3
"Sandra Unbehend",27
"Sarah Lang",12
"Selina Herrmanny",7
"Simone Ecker",24
"Simone Jäckels",0
"Sophia Morsch",4
"Sophia Schuh",8
"Sophia Wenzel",0
"Sophie Kliesa",1
"Stefanie Zimmermann",0
"Susanne Gräber",20
"Svenja Keßler",1
"Svenja Utzig",2
"Tanja Schwarzer",17
"Teresa Loois",7
"Theresa Müller",21
"Vanessa Julia",1
"Verena Seiler",4
"Victoria Ost",4
"Vivien Kron",0
"Vivien Schmitt",10
"Yasmin Klöckner",34
"YAsmin Klöckner",4
