"Name","Tore"
" Melanie",2
"Adriana Altpeter",4
"Adriana Heck",0
"Aimée Farmer",6
"Alexandra Meyer",1
"Alexandra Rausch-Zapp",8
"Alexandra Zapp",2
"Alina Friedrich",33
"Alina Holzhauser",9
"Aline Engbarth",0
"Aline Grün",8
"Alisa Hoffmann",0
"Alisa Wagner",39
"Amelie Strack",3
"Ana-Marija Gasparov",0
"Angela Baltes",0
"Angela Wagner",1
"Anika Mitzel",0
"Anja Bock",49
"Anke Henning",2
"Anna Hoffmann",26
"Anna Holzer",0
"Anna Michaely",3
"Anna Scheid",0
"Anna Schneider",32
"Anna Sesterhenn",36
"Anna Teich",10
"Anna-Katharina Serbine",12
"Anna-Lea Theobald",5
"Anna-Lena Holzer",7
"Anna-Lucia Schuster",11
"Annika Alt",7
"Annika Basters",0
"Annika Fusenig",11
"Annika Geiß",0
"Annika Geist",0
"Annika Werner",0
"Bianca Bach",42
"Bouillon Nadine",3
"Bruni Rühl",37
"Carina Mast",19
"Caroline Hoffmann",4
"Cathrin Steiner",1
"Celina Finkler",30
"Charline Kleer",102
"Charlotte Spitzer",23
"Christiane Kasper",2
"Christina Budke",22
"Christina Motz",6
"Christina Risch",31
"Christina Ryabtsyeva",51
"Claire-Michelle Kuhn",0
"Corinna Emmert",0
"Cyndi Nojack",19
"Daniela Bauer",0
"Daniela Decker",52
"Daniela Rubeck",97
"Dardane Salijaj",0
"Denise Denk",4
"Denise Mohr",93
"Dier Malin",0
"Elena Baltes",26
"Elena Heylmann",9
"Elena Vogelgesang",0
"Elisa Wolfanger",73
"Ellen Maldener",20
"Emelie Vogelgesang",9
"Emely Buchheit",10
"Erica Vinciguerra",0
"Eva König",12
"Evelyn Rakin",8
"Fabienne Gutsch",0
"Franziska Haberer",15
"Franziska Linnenbach",42
"Franziska Rudel",11
"Franziska Will",14
"Geraldine Schramm",0
"Hanna Grimm",0
"Hanna Zeller",5
"Hannah Gentes",27
"Hannah Jost",27
"Hannah Michaelis",0
"Hannah Seel",2
"Hannah Siebert",18
"Hannah Urmoneit",50
"Heba Haloul",11
"Heidi Cunz",5
"Helena Roth",49
"Isabel Reis",25
"Isabelle Lang",0
"Jacqueline Jochem",14
"Jana Dumoulin",4
"Jana Honig",0
"Jana Seel",26
"Jana Sehn",37
"Jana Wagner",20
"Janika Müller",4
"Janina Klauck",5
"Janina Mörsdorf",15
"Janine Teichmann",26
"Jannika Müller",3
"Jasmin Stumpf",1
"Jennifer Eisenbeis",0
"Jennifer Fries",18
"Jennifer Koca",51
"Jennifer Lermen",0
"Jessica Engel",1
"Jessica Schäfer",7
"Johanna Bick",1
"Johanna Weisgerber",5
"Jordane Steiner-Kuhn",1
"Jule Decker",1
"Julia Eggert",0
"Julia Junker",6
"Julia Lehmann",0
"Julia Merklinger",0
"Julia Müller",1
"Kannengießer Nina",2
"Karin Erschens",21
"Kary-Ann Wern",4
"Katharina Budke",4
"Katharina Huppert",0
"Katharina Lux",8
"Katharina Schmitt",0
"Kathrin Groß",7
