"Name","Tore"
"Adrienn Talpas",24
"Alena Jost",1
"Alina Eyer",1
"Alina von",13
"Aline Klein",42
"Aline Krause",10
"Aline Trierweiler",7
"Angela Wiesen",8
"Anika Borowski",15
"Anita Nagy",11
"Anja Kerber",0
"Ánja Schröder",1
"Anke Mautes",3
"Ann-kathrin Moeckel",1
"Anna Herrmann",2
"Anna Kreibig",13
"Anna Krier",20
"Anna Lena",17
"Anna Sonntag",1
"Anna-Lena Radtke",0
"Anna-Lena Weinkauff",2
"Annika Birringer",58
"Annika Blug",34
"Barbara Blum",7
"Barbara Hoffmann",0
"Bärbel Schäffler",0
"Bianca Becker",21
"Birgit Blum",5
"Carmen Altmeier",11
"Carmen Fricke",33
"Caroline Ostien",0
"Caterina Mela",10
"Celina Bettendorf",15
"Chantal Van",24
"Chiara Fazio",9
"Christina Bohlender",3
"Christine Ludwig",15
"Clara Schulz",3
"Claudia Benedix",2
"Clea Protzel",2
"Cornelia Franz",0
"Dafina Haskaj-Gasi",39
"Dana Egler",5
"Deborah Sehr",10
"Denise Preuß",0
"Dilan Akdogan",31
"Elaine Dryander",15
"Elea Karst",2
"Elena Adams",1
"Elena De",0
"Elena Wonner",0
"Elke Bastian",2
"Emilia Schulien",3
"Emilie Hirschauer",16
"Eva Menzerath",0
"Fabienne Mirold",7
"Franziska Klein",29
"Franziska Rodner",6
"Friederike Buckel",0
"Gianna De",0
"Hannah Oehm",13
"Helen Schmitt",0
"Helena Gras",0
"Ina Schneider",4
"Ina Schulz",8
"Jacqueline Kunkel",15
"Jana Bornmann",8
"Jana Maximini",8
"Jana Wilkin",26
"Janina Britta",13
"Janine Bohnenberger",0
"Janine Bruxmeier",7
"Janine Dobrajc",1
"Janine Graeske",19
"Jaqueline Martin",6
"Jaqueline Rullang",23
"Jasmin Altmann",37
"Jasmina Johannes",3
"Jennifer Lamest",14
"Jessica Mommenthal",0
"Jessica Weisbeck",3
"Joelle Irmscher",24
"Johanna Lauer",0
"Jule Freund",7
"Julia Bock",28
"Julia Boudier",16
"Julia Dauber",66
"Julia Jost",13
"Julia Kissel",15
"Julia Mathieu",3
"Julia Renner",4
"Julia Saar",7
"Julia Schmitt",7
"Julia Wagner",0
"Kaja Müller",12
"Katharina Birk",0
"Katharina Hammer",12
"Katharina Recktenwald",3
"Katharina Speicher",10
"Kathrin Chomiak",0
"Kathrin Herres",0
"Kathrin Müller",4
"Kathrin Schröder",2
"Katja Jungbluth",40
"Katja Kammer",34
"Katrin Kopp",7
"Kaya Ruppert",40
"Kerstin Altmeier",12
"Kerstin Korzensy",0
"Kim Jana",3
"Kim Simon",1
"Kira Zimmer",5
"Kirsten Michel",9
"Lara Karrenbauer",4
"Laura Köster",5
"Laura Krämer",34
"Laura Lydorf",1
"Laura Marie",13
"Laura Rosche",41
"Lea Herrmann",0
"Lena Dahm",40
"Lena Schneider",0
"Lena Schu",0
"Lena Zimmer",18
"Lena Zimmermann",16
"Leonie Geid",0
"Leonie Malisan",7
"Lisa Brunk",29
"Lisa Eisel",4
"Lisa Gergen",0
"Lisa Hector",4
"Lisa Klein",5
"Lisa Szygula",2
"Lisa Tosetto",7
"Lisa-Marie Backes",7
"Lisa-Marie Herzig",0
"Lisa-Marie Hoen",12
"Louisa Gothier",28
"Louisa Jung",24
"Louisa Kraus",6
"Louisa Otto",18
"Luca Schmeer",1
"Maike Dürr",6
"Maike Ernst",10
"Manuela Schmalzl",4
"Mara Turbing",0
"Marie Osbild",10
"Marie-Louise Herrmann",4
"Marika Kannegießer",0
"Marina Gorny",5
"Meike Hoffmann",20
"Melanie Neutzling",32
"Michelle Dick",3
"Michelle Engler",13
"Michelle Preuß",10
"Michelle Schneider",12
"Milena Borowiec",0
"Miriam Ruppert",0
"Nadine Maier",0
"Nadine Nothof",26
"Natascha Kaiser",14
"Nathalie Odenbach",0
"Navina Reis",0
"Nele Dillo",46
"Nicole Kopp",7
"Nicole Scherf",5
"Nicole Weber",23
"Nina Dörr",0
"Nina Fechler",2
"Nina Marschel",0
"Nina Michels",0
"Nina Piro",1
"Nina Röhlen",0
"Nina Sold",4
"Nina Werle",5
"Nina Wojtek",2
"Noemi Meißner",3
"Patricia Müller",0
"Pauline Klein",12
"Petra Bernarding",60
"Priscilla Junker",29
"Rebecca Bold",11
"Sabine Sauerwein",11
"Sabrina Seger",4
"Saina Teymouri",26
"Sandra Schmitt",3
"Sarah Wenzel",9
"Saskia Brutscher",0
"Saskia Kopp",24
"Saskia Zimmer",3
"Silvia Jaeger",0
"Silvia Reis",1
"Silvija Lang",5
"Simone Backes",0
"Sina Schöneweiß",0
"Sonja Gilcher",5
"Sophie Schneider",3
"Stefanie Heck",5
"Svenja Maximini",4
"Svenja Schulze",0
"Swetlana Ross",8
"Tanja Bies",13
"Ulrike Thiry",5
"Vanessa Gill",1
"Vanessa Kiesgen",13
"Victoria Zimmermann",27
