"Name","Tore"
"Admira Zvekic",6
"Angelina Schreyer",5
"Anja Wendler",8
"Ann-Kathrin Hauck",1
"Anna Bossmann",0
"Anna Butz",1
"Anna Emperle",5
"Annalena Frank",8
"Annalena Zahm",0
"Anne Schmitt",1
"Antje Haag",0
"Bärbel Schäffler",0
"Bea Demski",6
"Carla Schmitt",1
"Carolin Aulenbacher",0
"Celine Sold",3
"Charlotte Lohr",0
"Christine Kappes",6
"Claudine Bendun",0
"Dana Egler",1
"Daniela Rößler",2
"Daphne Huber",0
"Diana Josic",3
"Elena De",0
"Elisa Wagner",1
"Emma Lesch",3
"Emma Wilhelm",0
"Fabienne Hoffmann",0
"Fabienne Schmuck",2
"Franziska Brecht",5
"Frederike Götz",5
"Jacqueline Nätzer",0
"Jacqueline Tines",5
"Jade Walburg",1
"Jana Heidger",4
"Jana Marie",1
"Jana Maximini",8
"Janine Baus",0
"Jaqueline Wegner",0
"Jasmin Jung",4
"Jasmina Zimmermann",0
"Johanna Stratemeier",0
"Julia Sefrin",4
"Kathrin Pfirrmann",1
"Katja Gabriel",3
"Katrin Meiszis",0
"Kimberly Pfeifer",4
"Klara Schumacher",3
"Klara-Kerstin Köbele",1
"Lara Schlicker",3
"Lara Schneider",4
"Larissa Freund",7
"Laura Baldauf",3
"Laura Klein",2
"Lea Eckrich",1
"Lea Stoffel",3
"Lena Berstecher",0
"Lena Boudier",2
"Lena Bringsken",1
"Lena Dettling",0
"Leonie Karl",2
"Leonie Krebs",0
"Levke Worm",3
"Lina Bechtel",0
"Linda Knarr",0
"Lisa Eisel",4
"Lisa-Marie Steffens",8
"Louisa Otto",6
"Lucie Krein",14
"Lucy Dzialoszynski",6
"Lucy Sulta",1
"Luisa Jenne",1
"Lynn Marie",1
"Maike Freitag",0
"Marie-Luise Kiefer",7
"Marlen Wehr",6
"Maureen Eyermann",0
"Meike Silaghi",4
"Melissa Kögel",2
"Michelle Schütz",1
"Mona Kuczaty",5
"Mona Reichling",2
"Morgane Schniebs",0
"Nadine Fischer",3
"Nadine Gabor",0
"Nadine Nothof",0
"Natascha Philipp",0
"Nele Dillo",6
"Nicole Kopp",3
"Nicole Ripp",0
"Nina Schillo",0
"Olivia Lübge",1
"Raphaela De",0
"Rebecca Brecht",3
"Renata Szabo",5
"Romina Heßler",1
"Sabine Mayer",0
"Sabrina Schrader",0
"Sandra Reis",5
"Selina Hofmann",0
"Sofie Heiser",1
"Susanne Kappes",4
"Tanita Schall",6
"Tatjana König",8
"Tessa Koch",1
"Valerie Chaumet",0
"Veronika Schröder",0
"Yuliya Kucerova",10
"Yvonne Rolland",7
"Zoe Hesse",0
