"Name","Tore"
"Aaron Prisson",1
"Alexander Groß",5
"Alexander Laub",3
"Andre Fuhrmann",0
"Andreas Helle",10
"Andreas Leiner",0
"Andreas Matheis",3
"Angelo Lo",5
"Anton Dietz",0
"Bastian Tittelbach",1
"Ben Bieber",2
"Benjamin Wendel",0
"Berger Sebastian",4
"Bjarne Buhtz",7
"Björn Franz",4
"Björn Schäfer",3
"Christian Kohl",0
"Christian Schauer",7
"Christoph Martini",0
"Claudio Marcello",7
"Daniel Bugiel",4
"Daniel Hooß",9
"Daniel Ziegler",4
"David Leffer",3
"Dennis Bernt",0
"Dennis Schneider",0
"Dominik Richter",2
"Dominik Schmitt",0
"Erik Bleimehl",14
"Erik Dümmler",0
"Fabian Alt",8
"Fabian Schappert",1
"Felix Bick",4
"Flavio Tassone",1
"Florian Kaffke",2
"Florian Knapp",2
"Florian Wendel",3
"Franz Lohrum",11
"Frederik Welsch",0
"Fynn david",2
"Harald Hauth",0
"Holger Stepp",3
"Jan Paul",0
"Jan Weise",4
"Jannik Lang",0
"Jason Derri",1
"Jens Jurgutat",0
"Joachim Geiger",2
"Johannes Schnepp",0
"Johannes Sorg",7
"Jonas Diehl",1
"Jonas Ringeisen",1
"Juergen Hartz",0
"Julian Braun",0
"julian lösch",0
"Julian Schales",8
"Julian Ternette",2
"Julian Torbing",5
"Kaffke Florian",3
"Karsten Roser",6
"Kim-Thanh Hoffmann",6
"Korbinian Schmidt",1
"Lars Meyer",0
"Lars Zielke",0
"Lennard Meier",0
"Leon Veith",6
"Lucas Schopp",3
"Lukas Gebhardt",1
"Lukas Keßler",1
"Lukas Meyer",0
"Marc Leiner",0
"Marc-Oliver Weber",0
"Marcus Eschenbaum",6
"Marcus Geidel",11
"Mario Zins",5
"Marius Werner",3
"Mark Kopietz",4
"Martin Meinhard",17
"Mathias Kartes",8
"Mathias Uhlig",0
"Matthias Immesberger",0
"Matthias Liesmann",0
"Mattia Dario",0
"Max Leffer",2
"Maximilian Kirmse",1
"Maximilian Teich",1
"Michael Schaum",7
"Michel Kaufmann",0
"Mike White",1
"Moritz Pfaff",2
"Nils Hector",2
"Nils Schneider",0
"Olaf Zimmer",1
"Pascal Paul",5
"Patrick Werner",4
"Patrik Hertel",3
"Peter Hess",2
"Peter Lang",0
"Peter Westrich",2
"Philipp Kuhn",0
"Philippe Röhlinger",1
"Rafael Hurth",4
"Rainer Stolz",0
"Roven Ternette",11
"Sebastian Weisenseel",6
"Simon Meyer",0
"Simon Rosinus",0
"Simon Scheller",3
"Stefan Henkes",0
"Stefan Madle",6
"Stefan Trenz",1
"Sven Bost",0
"Sven-Ake Lentföhr",2
"Thomas Dannapfel",0
"Thomas Werner",4
"Thorsten Zitt",0
"Tim Haag",0
"Tim Rein",1
"Tim Stillemunkes",0
"Timo Kraus",0
"Timo Weis",0
"Tobias Henrikus",0
"Tobias Michel",4
"Tom Herges",0
"Wladimir Ostrouschko",5
