"Name","Tore"
"Aaron Prisson",110
"Adrian Montag",27
"Alexander Becker",1
"Alexander Ettelbrück",1
"Alexander Hewener",0
"Alexander Klein",3
"Alexander Kundi",8
"Alexander Spies",22
"Andrè Gresser",9
"Andre Zenner",9
"Andreas Bach",29
"Andreas Brodback",118
"Antonin Hlupic",22
"Arne Peitsch",10
"Artur Pazur",2
"Axel Czuck",4
"Axel Koch",22
"Bastian Liedtke",19
"Benedikt Maas",16
"Benedikt Selzer",66
"Björn Leinenbach",2
"Carsten Müller",2
"Carsten Schneider",1
"Carsten Wernet",29
"Chris Leinen",11
"Christian Baur",0
"Christian Becker",8
"Christian Haser",2
"Christian Johann",9
"Christian Leinen",27
"Christian Milde",0
"Christian Schneide",2
"Christian Schneider",44
"Christian Unger",0
"Christoph Brettar",1
"Christoph Meyer",31
"Christopher Ballof",35
"Christopher Lee",4
"Christopher Spross",1
"Claude Krein",21
"Claus Greiber",0
"Clemens Biesel",2
"Daniel Adolph",4
"Daniel Bubel",1
"Daniel Mohr",0
"Daniel Zehrden",1
"Darryl Jakobs",0
"David Eckstein",7
"David Molitor",8
"David Spindler",0
"Denis Brandt",10
"Denis Simon",0
"Dennis Jager",26
"Dennis Kratz",0
"Dennis Simon",4
"Dieter Niederau",7
"Dirk Heinen",0
"Dirk Joris",11
"Domenique Zitte",1
"Dominik Britten",39
"Dominik Kasper",11
"Dominik Sautter",0
"Dominik Steuer",11
"Dominik Weber",50
"Donatas Vaitekunas",5
"Eduard Lilienthal",1
"Elias Harth",0
"Elias Hoff",4
"Eric Ludwig",5
"Eric Rubert",8
"Etienne Dick",52
"Fabian Engels",25
"Fabian Fritz",15
"Fabian Scher",15
"Fabian Steffen",41
"Fabio Campana",13
"Fabio Massimino",38
"Falk Grommes",3
"Felix Brinkmann",11
"Felix Lampen",12
"Floran Groneberg",14
"Florian Dittgen",32
"Florian Zipfel",2
"Frank Scherer",0
"Franz Steffen",5
"Freddy Schiafone",16
"Frederick Anton",66
"Fuchs Benni",4
"Gerome Reuter",24
"Hamdani Habib",32
"Harald Rupp",42
"Haythem Arfaoui",43
"Henning Wagner",41
"Hoang Lich",42
"Holger Busche",3
"Holger Schmidt",0
"Jan Escher",14
"Jan Maurer",21
"Jan Weber",0
"Jan-Oliver Montag",15
"Jason Chan",0
"Jens Maul",2
"Jens Wagner",7
"Joachim Schäfer",17
"Jochen Gilzem",3
"Johannes Conrath",10
"Johannes Kautenburger",42
"John Lehnert",7
"Jonas Schminke",0
"Jörg Coen",4
"Jörg Gahnowski",4
"Jörg Spreier",27
"Jörg Thönes",23
"Joschka Grossmann",5
"Joshua Raber",21
"Josip Serbetic",57
"Julian Groh",0
"Julian Groß",0
"Julian Robert",3
"Jürgen Meßner",46
"Kai Steinheimer",60
"Kevin Ehrenberg",40
"Kevin Klein",3
"Kevin Otto",2
"Lars Helmert",2
"Lars Krämer",4
"Leo Hahn",11
"Leon Demmer",2
"Leon Kolz",0
"Leon Marcel",0
"Lich Bui",4
"Lilienthal Eduard",0
"Linus Halberstadt",0
"Lorenz Kaiser",3
"Lorscheider Tobi",5
"Lukas Liedke",7
"Lukas Liedtke",0
"Lukas Richter",0
"Lukas Schlechtriemen",0
"Malte Krämer",0
"Manuel Hoen",37
"Manuel Schäfer",30
"Manuel Schröder",2
"Marc Schonard",0
"Marc Weber",18
"Marc-Yvan Wendling",4
"Marco Löwenbrück",8
"Marco Speicher",21
"Marco Weirich",0
"Marius Jung",3
"Markus Berendes",82
"Markus Maas",1
"Martin Bauer",22
"Martin Benteyn",0
"Martin Peil",2
"Martin Rochert",2
"Marvin Raubuch",2
"Mathias Brauch",1
"Mathias Neusius",32
"Matthias Brauch",11
"Matthias Brill",36
"Matthias Ettelbrück",34
"Matthias Hoffmann",13
"Matthias Klos",28
"Matthias Pontius",27
"Matthias Roth",3
"Matthias Schuhmacher",60
"Maurice Busch",20
"Maurice Dick",23
"Maurice Groß",0
"Max Hau",76
"Mehmet Kurt",2
"Merlin Breinig",3
"Michael Kloster",1
"Michael Mayenborn",56
"Michael Prediger",2
"Mirko Graeske",29
"Moritz Kirchhoff",0
"Nabuel Hoen",2
"Nico Schikofsky",29
"Nico Schneider",30
"Nikolas Altmeyer",0
"Nils Dörr",25
"Nils Fellinger",73
"Olbertz Sven",0
"Oliver Keßler",27
"Oliver Steinel",7
"Pascal Georg",17
"Pascal Ginsbach",1
"Pascal Löwenbrück",6
"Pascal Scheidt",8
"Patrick Reuter",5
"Paul Ketter",2
"Paul Reiner",2
"Peter Adam",0
"Peter Bier",9
"Peter Dörr",0
"Peter Gutjahr",16
"Philipp Both",0
"Philipp Jäckel",0
"Philipp Müller",12
"Philipp Stalter",29
"Philipp Winter",4
"Ralf Franz",2
"Raphael Schmidt",0
"Rene Eisenbeis",5
"Richter Lukas",0
"Robin Gebhardt",2
"Ronny Pingen",0
"Rudolf Schmidt",0
"Rudolf Schmitt",0
"Rudolf Siegel",9
"Salvatore Di",13
"Sandro Buchheit",2
"Sascha Engstler",0
"Sascha Heinrich",24
"Sebastian Becker",29
"Sebastian Heisel",5
"Sebastian Hoen",9
"Sebastian Hoffmann",42
"Sebastian Pink",10
"Sebastian Spies",10
"Simon Demmer",4
