"Name","Tore"
"Aaron Wannenmacher",2
"Achim Gattermann",1
"Alexander Hüllein",2
"Alexander Petry",12
"Alexander Potdevin",6
"Alexander Ruffing",7
"Andre Fuhrmann",3
"Andreas Ley",0
"Andreas Wittig",11
"Angelo Lo",25
"Bastian Tittelbach",3
"Bernd Jehle",5
"Bernd Schaumburger",0
"Can Tugal",6
"Christian Jung",0
"Christopher Marth",18
"Christopher Schnur",6
"Daniel Donauer",23
"Daniel Ziegler",3
"David Volz",4
"Dennis Bernt",10
"Dennis Nagel",1
"Dominik Werner",5
"Duncan Pink",4
"Eric Reinmuth",1
"Erik Röhrich-Zorn",2
"Fabian Alt",18
"Fabian Haßdenteufel",1
"Fabian Hofrichter",7
"Fabian Thiery",5
"Felix Feld",0
"Felix Strauß",0
"Florentin Sessinghaus",0
"Florian Knapp",4
"Florian Rech",6
"Frank Altpeter",23
"Frank Loth",0
"Fynn Gattermann",4
"Gerd Baumann",0
"Glück Alexander",0
"Glück Sebastian",1
"Halil Aksar",27
"Heiko Kuhn",7
"Heiko Palubitzki",5
"Henri Hinkelmann",13
"Holger Wolfanger",12
"Igor Wolny",18
"Ilan Deck",1
"Jan Engel",3
"Jan Seilheimer",0
"Jan-Erik Dörrenbächer",2
"Janis Schöneberger",0
"Jannick Flockerzi",10
"Jannick Morsch",16
"Jason Derri",5
"Johannes Ebert",4
"John-Luca Hunsicker",4
"Jonas Schneider",12
"Jörg Euschen",4
"Joscha Beyer",0
"Jukius Burger",1
"Julian Kusch",12
"julian lösch",8
"Kai Groß",2
"Kevin Leiner",0
"Kevin Sauer",5
"Kim Maurice",7
"Klaus Rohrbacher",1
"Klaus Schmidt",1
"Lars Eisenbeis",2
"Lars Zielke",0
"Lasse Beyer",5
"Leiner Marc",0
"Lennard Meier",4
"Leon Stumpf",1
"Levent Hakverdi",10
"Lino Biesel",0
"Lucas Schopp",13
"Luka Sebastian",1
"Lukas Kemmer",0
"Lukas Kuhn",7
"Lukas Meyer",4
"Lukas Schopp",3
"Marc Kiefer",2
"Marc Pickard",2
"Marc-Oliver Weber",0
"Marco Recktenwald",16
"Mario Zins",3
"Marius Bauer",0
"Marius Mierau",23
"Markus Eichbladt",0
"Martin Dörr",10
"martin schneider",5
"Martin Schneider",2
"Mathias Kartes",29
"Mathias Rebmann",10
"Matthias Liesmann",0
"Maurice Zimmer",2
"Maximilian Wolfanger",10
"Michael Hinsberger",13
"Nico Rheinheimer",7
"Nico Ruby",4
"Nils Groß",5
"Nils Jung",30
"Nils Neuwerth",3
"Nils Schneider",0
"Oliver Fess",0
"Oliver Konrad",5
"Patrick Werner",36
"Peter Kubera",7
"Philipp Haßdenteufel",0
"Philipp Kuhn",0
"Philipp Rebmann",4
"Philpp Volz",0
"Ralf Becker",0
"Rico De",4
"Rico di",2
"Rico Die",6
"Salvatore Galapi",0
"Sascha Stoll",0
"Sascha Wirges",0
"Sebastian Franz",2
"Sebastian Glück",0
"Sebastian Morgenstern",0
"Serkan Karabulut",0
"Simon Jost",3
"Stefan Noß",1
"Stefan Schultheiß",0
"Stefan Wittke",0
"Steve Sauer",4
"Sven-Ake Lentföhr",11
"Theo Potdevin",0
"Thomas Dannapfel",1
"Thorsten Zaffalon",10
"Tim Bohlinger",34
"Tim Norman",9
"Timo Krapf",4
"Tobias Freudenreich",1
"Tobias Pfeiffer",15
"Tobias Roth",0
"Tony Rohe",6
"Torsten Mager",2
"Torsten Schwarz",0
"Uwe Hinsberger",5
"Uwe Hoffmann",18
"Warott Vibulakalphan",6
"Wolf-Harald Dallmann",12
"Yannik König",2
