"Name","Tore"
"Alexander Löb",0
"Andreas Baltes",2
"Andreas Gräf",6
"Andreas Montag",2
"Andreas Schneider",0
"Andreas Wittig",6
"Armin Beckmann",5
"Benjamim Altholz",0
"Benjamim Heller",1
"Björn Morche",5
"Bruno Timpano",3
"Christian Czernickiewitz",12
"Christian Richter",1
"Christian Ruppert",0
"Christoph Wagner",3
"Christopher Thome",3
"Christopher Wegert",0
"Daniel Greff",1
"Daniel Hahn",1
"Daniel Jäcker",0
"Daniel Neurohr",0
"Dario Tassone",6
"Dirk Blaumeiser",3
"Dominic Mader",0
"Dominik Schöndorf",2
"Dominique Cartus",2
"Eric Gutfrucht",0
"Eric Schank",4
"Fabian Lechleiter",0
"Fabian Schappert",2
"Fabian Thiery",6
"Felix Dabrock",1
"Florentin Sessinghaus",1
"Florian Franzl",0
"Florian Jochum",12
"Florian Meyer",3
"Florian Schädler",4
"Florian Schoppe",0
"Franz Lohrum",0
"Frederick Sellmann",4
"Halil Aksar",0
"Hendrik Franzmann",0
"Holger Stepp",0
"Jakob Gauf",2
"Jan Braunhardt",6
"Jan Schäfer",0
"Jan-Oliver Hartl",3
"Jannick Flockerzi",4
"Jannik Lang",0
"Jason Derri",0
"Johannes Knoll",8
"Johannes Ruppert",0
"John Pelz",7
"Jonas Ringeisen",0
"Jonas Schales",5
"Jonas Schaum",4
"Jonas Veith",7
"Joshua Rischar",2
"Jules Graf",0
"Julian Malz",0
"Kevin Biehl",0
"Lars Gräbel",1
"Lars Meyer",0
"Lars Zielke",0
"Lasse Beyer",0
"Leonard Frisch",4
"Lukas Siegwardt",5
"Marc Kiefer",4
"Marc Leiner",0
"Marc Philipp",2
"Marc Pitz",0
"Marc-Oliver Weber",1
"Marco Rozycki",3
"Marcus Hausknecht",2
"Martin Knoll",0
"Marvin Horst",7
"Matthias Becker",0
"Matthias Enrico",1
"Max Brückerhoff",0
"Maximilian Wolfanger",0
"Michael Eich",1
"Michael Mathieu",3
"Michael Scheib",2
"Michael Staudter",1
"Michael Wagner",1
"Moritz Helling",0
"Moritz Michel",3
"Muhamet Durmishi",3
"Oliver Welker",0
"Pascal Boeckmann",0
"Pascal Duez",0
"Pascal Knerr",0
"Pascal Stehr",5
"Peter Marx",0
"Philipp Daume",13
"Philipp Heil",0
"Philipp Rebmann",3
"Philipp Serr",0
"Ricardo Jung",3
"Robin Klees",3
"Ruwen Schäfer",1
"Sebastian Herp",0
"Sebastian Ruppert",0
"Sebastian Stein",3
"Simon Jost",2
"Stefan Roth",5
"Stephan Wendling",7
"Sven Feld",3
"Thomas Stumm",4
"Thorsten Hoffmann",1
"Thorsten Walle",2
"Tim Lukas",4
"Tobias Mersdorf",2
"Tobias Stauch",4
"Tom Hoferichter",0
"Torsten Jung",1
"Warott Vibulakalphan",5
"Yannick Cordes",0
"Yannick Mangold",3
"Yannis Karl",1
