"Name","Tore"
"Aaron Schleidweiler",3
"Adrian Cristescu",0
"Alexander Dreier",0
"Alexander Saunus",0
"Andre Rebholz",2
"Benjamin Jusufbegovic´",3
"Carsten Wenzel",0
"Christoph Holz",0
"Daniel Thilmann",4
"David Pfiffer",0
"Dragan Raspudic",0
"Fabian Engels",2
"Fabian Graap",7
"Fabian Quandt",1
"Felix Dettinger",1
"Felix Kästel",1
"Felix Kunz",3
"Felix Müller",0
"Florian Pfaffmann",0
"Frederik Bohm",0
"Georg Ebel",0
"Gilles Ehrman",0
"Heinrich Löwen",2
"Henry Hofmann",0
"Jan Simgen",0
"Janik Kunz",0
"Jochen Schloß",8
"Johannes Zeyer",1
"Jonas Busch",0
"Jonas Guther",0
"Julian Pozywio",0
"Lars Kron",1
"Lukas Klein",5
"Malte Fidelak",1
"Marcel Deege",1
"Marco Holstein",0
"Marius Merziger",0
"Marko Mrsic",1
"Markus Seitz",0
"Markus Weber",0
"Matthias Kassel",0
"Max Mees",0
"Max Schneider",6
"Maximilian Daum",5
"Maximilian Dettinger",0
"Maximilian Schreiber",5
"Maximilian Staats",2
"Nicholas Balthasar",3
"Nico Bader",0
"Nico Klein",0
"Niklas Hoff",8
"Niklas Klein",0
"Niklas Maximilian",5
"Nikolas Räuber",1
"Nisse Nehrdich",1
"Norman Becker",0
"Pascal Meisberger",0
"Pascal Theuer",1
"Patrick Schulze",0
"Philipp Kockler",4
"Philipp Mohra",4
"Robin Näckel",0
"Rouven Hahn",0
"Simon Schleidweiler",9
"Sven Dopp",0
"Sven Lerzer",0
"Thoren Pönisch",2
"Tim Groß",2
"Tim Kern",0
"Tim Schmieder",1
"Timo Holstein",2
"Timo Kluzik",3
"Timo Naas",0
"Tino Gläßgen",0
"Tobias Häuselmann",0
"Tobias Krumm",0
"Tobias Wächter",1
"Tom Schneider",1
"Yannick Treiber",4
"Yannik Jungblut",0
