"Name","Tore"
" TV",85
"Aaron Schleidweiler",39
"Abdelaziz Helaoui",29
"Adrian Cristescu",5
"Adrian Taday",0
"Ahmed Abdulla",9
"Alexander Backes",39
"Alexander Dörr",0
"Alexander Dreier",0
"Alexander Hewener",1
"Alexander Saunus",81
"Alexander Winkel",0
"Andre Rebholz",0
"Andreas Altmeyer",25
"Andreas Becker",0
"Andreas Dahmen",30
"Andrius Zigelis",95
"Armin Henke",14
"Arne Teschner",60
"Bastian Wendling",31
"Bastian Wilbrandt",16
"Ben Wetstein",2
"Benedikt Berz",0
"Benjamin Jusufbegovic´",11
"Benjamin Oster",0
"Benjamin Treiber",55
"Benjamin Zellmer",83
"Björn Boinski",0
"Carsten Müller",0
"Carsten Wenzel",23
"Christian Kosel",0
"Christian Offermann",102
"Christian Schaub",29
"Christian Schröder",56
"Christoph Holz",52
"Christoph Räder",0
"Christoph Raeder",0
"Christoph Senzig",2
"Christopher Huber",22
"Christopher Klee",60
"Clemens Jung",0
"Daniel Hörner",12
"Daniel Schüller",0
"Daniel Thilmann",24
"Daniel Zourek",72
"Darren Weber",100
"David Lütkemeier",9
"David Pfiffer",32
"Dejan Dobardzijev",8
"Dennis Berndt",0
"Dennis Rohmann",0
"Dominic Hopp",19
"Dominik Baucke",11
"Dominik Rifel",23
"Dominik Robert",1
"Dominik Stein",4
"Eike Rigterink",28
"Ellias Bjötgvin",0
"Eric Bolomsky",12
"Erik Zilincik",16
"Fabian Engels",6
"Fabian Graap",32
"Fabian Quandt",5
"Fabian Schmitt",13
"Fabian Schmitz",1
"Fabian Serwinski",22
"Fabian Wecker",9
"Felix Dettinger",8
"Felix Faller",87
"Felix Kästel",18
"Felix Kunz",56
"Felix Müller",0
"Finn Engelmann",12
"Finnian Lutze",48
"Florian Fleckenstein",1
"Florian Hedderich",0
"Florian Lipp",27
"Florian Sturm",10
"Florian Treiber",0
"Frederik Bohm",24
"Georg Ebel",22
"Gilles Ehrman",40
"Graap Fabian",4
"Hagen Gutland",0
"Hendrik Balthasar",23
"Henning Huber",2
"Henrik Walb",62
"Henry Hofmann",5
"Holger Schmidt",0
"Jacob Brauns",11
"Jacob Schleier",15
"Jan Felix",32
"Jan Gabrys",0
"Jan Hochgesand",0
"Jan Hommen",89
