"Name","Tore"
"Aaron Braun",3
"Aaron Schork",0
"Aaron Störmer",0
"Aaron Wannenmacher",1
"Achim Gattermann",0
"Adrian Montag",2
"Alex Fuchs",0
"Alexander Bernardy",0
"Alexander Deckarm",3
"Alexander Ettelbrück",6
"Alexander Hüllein",1
"Alexander Petry",4
"Alexander Potdevin",7
"Alexander Sauder",4
"Alexander Saunus",1
"Alexander Sema",0
"Alexander Veith",0
"Alexander Wegert",2
"Andre Fuhrmann",0
"Andreas Adam",4
"Andreas Altmeyer",6
"Andreas Baltes",6
"Andreas Becker",0
"Andreas Fischer",1
"Andreas Matheis",0
"Andreas Meyer",0
"Andreas Sticher",4
"Andrej Grenz",5
"Andrej Kessler",0
"Angelo Lo",1
"Baraa Mosattat",0
"Bastian Liedtke",1
"Bastian Stuiber",0
"Benedict Haubeil",0
"Benedikt Neufang",8
"Benjamin Brück",5
"Benjamin Bus",0
"Benjamin Kirsch",0
"Benjamin Schanne",2
"Bernady Alexander",8
"Bernd gräbel",2
"Bjarne Buhtz",2
"Björn Buschmann",8
"Björn Feit",0
"Björn Franz",0
"Björn Schäfer",2
"Carmelo Nicotra",1
"Carsten Müller",1
"Christian Becker",0
"Christian Breinig",0
"Christian Gauf",6
"Christian Gehm",12
"Christian Johannes",0
"Christian Jung",0
"Christian Kammer",5
"Christian Leinen",1
"Christian Mahler",3
"Christian Quintes",2
"Christian Richter",0
"Christian Ruppert",0
"Christian Sorg",10
"Christian Weber",8
"Christof Keller",14
"Christoph Friesen",1
"Christoph Holz",9
"Christoph Lebold",11
"Christoph Senzig",5
"Christopher Thome",1
"Claudio Marcello",0
"Clemens Jung",0
"Dagoberto Martinez",1
"Daniel Adolph",0
"Daniel Boßmann",0
"Daniel Dörr",2
"Daniel Hartmann",1
"Daniel Johannes",0
"Daniel Keller",5
"Daniel Wenzel",0
"Daniel Ziegler",4
"Dario Tassone",1
"David Dorscheid",4
"David Hoffmann",4
"David Klein",2
"David Leffer",11
"David Pfiffer",5
"David Szilagyi",9
"Dennis Dönig",13
"Dennis Jager",2
"Dennis Mathieu",6
"Dennis Philipp",11
"Dino Zvekic",6
"Dirk Alles",0
"Dirk Blaumeiser",2
"Dirk Lübeck",4
"Domenic Spalt",15
"Dominik Britten",2
"Dominik Kiefer",0
"Dominik Richter",1
"Dominik Robert",0
"Dominik Schwindling",0
"Dominik Vogelgesang",3
"Eduard Lilienthal",0
"Edvinas Vorobjovas",9
"Enrico Sperker",1
"Eric Grünemeier",0
"Eric Gutfrucht",0
"Eric Mammolito",2
"Eric Werle",6
"Erik Bleymehl",5
"Etienne Müller",6
"Fabian Abel",13
"Fabian Dörr",1
"Fabian Engels",4
"Fabian Groß",6
"Fabian Großmann",1
"Fabian Naumann",13
"Fabian Neu",6
"Fabian Wecker",0
"Fabian Wiesel",18
"Fabian-Nico Müller",2
"Falk Wagner",5
"Felix Dabrock",6
"Felix Dettinger",8
"Felix Faller",20
"Felix Lampen",3
"Felix Richter",1
"Felix Scherhag",0
"Flavio Tassone",1
"Florian Aatz",1
"Florian Beqiri",7
"Florian Cabrano",5
"Florian Denk",0
"Florian Dittgen",0
"Florian Franzl",3
"Florian Georg",1
"Florian Jochum",3
"Florian Leßmöllmann",0
"Florian Meyer",2
"Florian Schädler",0
"Florian Schröder",0
"Florian Westrich",6
"Franz Lohrum",1
"Frederic Herber",9
"Frederick Hoffmann",3
"Frederick Sellmann",6
"Frederik Schulien",3
"Fynn Gattermann",0
"Gabriel Lang",0
"Georg Nukradze",0
"Gereon Maus",16
"Gerrit Peitsch",4
"Gessner Peter",0
"Giona Dobrani",7
"Giuseppe Coco",6
"Haythem Arfaoui",5
"Hendrik Franzmann",0
"Hendrik Rolshausen",18
"Hendrik Schmidt",13
"Hennadii Kucher",5
"Ian Sachs",3
"Jan Ambos",0
"Jan Böing",7
"Jan Brück",11
"Jan Fixemer",0
"Jan Hippchen",3
"Jan Mathei",0
"Jan Peter",2
"Jan Rene",0
"Jan Riedesel",4
"Jan Schäfer",0
"Jan Schattschneider",0
"Jan Vogel",5
"Jan-Luca Schön",1
"Jan-Oliver Hartl",3
"Janis Schöneberger",0
"Jannick Flockerzi",2
"Jannik Franz",1
"Jannik Mertes",0
"Jannis Prinz",0
"Jens Schackmann",4
"Jens Weißmann",0
"Jerome Lange",4
"Jim Sander",9
"Johannes Beck",13
"Johannes Haupenthal",1
"Johannes Knoll",1
"Johannes Mauer",4
"Johannes Moritz",0
"Johannes Rauch",1
"Johannes Sorg",11
"Johannes Uhl",0
"John Lehnert",3
"John Pelz",6
"John-Luca Hunsicker",0
"Jonas Guth",0
"Jonas Guther",11
"Jonas Hubertus",0
"Jonas Ringeisen",1
"Jonas Schales",0
"Jonas Schaum",1
"Jonas Schiffler",6
"Jonas Schneider",2
"Jonas Veith",1
"Jörg Waerder",0
"Jorge Oevermann",3
"Joshua Bullacher",3
"Joshua Herrmann",6
"Joshua Jacobsen",0
"Joshua Petry",0
"Joshua Raber",1
"Joshua Rischar",5
"Joshua Serzisko",4
"Joshua Wolf",1
"Jules Graf",0
"Julian Cornelius",1
"Julian Groh",0
"Julian Käufling",12
"Julian Kutsch",1
"Julien Santarini",0
"Juraj Urban",9
"Jürgen Stalter",0
"Kai Baab",16
"Kai Groß",0
"Kai Schumann",5
"Karsten Roser",6
"Kenny Janzon",8
"Kevin Biehl",0
"Kevin König",9
"Kevin Schuler",8
"Kevin Singh",7
"Kevin Weiskircher",1
"Kevin Windisch",3
"Kim Noesen",0
"Kim-Thanh Hoffmann",1
"Klaus Hänisch",0
"Küß Tobias",0
"Lars Gräbel",3
"Lars Kraus",5
"Lars Kron",0
"Lars Meisberger",0
"Lars Rieder",1
"Lars Schirra",11
"Lars Zielke",0
"Leo Hahn",6
"Leon Scheid",2
"Leonard Frisch",2
"Leonhard Arweiler",10
"Lucas Kuhn",3
"Lucas Reichmann",6
"Lucas Weißmann",5
"Lukas Bennoit",3
"Lukas Berger",0
"Lukas Glück",8
"Lukas Henkel",0
"Lukas Keller",0
"Lukas Kemmer",0
"Lukas Keßler",3
"Lukas Klein",1
"Lukas Knehr",3
"Lukas Liedke",2
"Lukas Löhr",0
"Lukas Reichmann",2
"Lukas Richter",0
"Lukas Schmidt",0
"Lukas Schulligen",0
"Lukas Schwindling",3
"Lukas Siegwardt",2
"Lukas Weiland",6
"Lukas Weyand",0
"Lutz Schneider",21
"Maik Ferber",0
"Malik Recktenwald",7
"Malte Fidelak",12
"Manuel Cwick",0
"Manuel Hoen",2
"Manuel Roth",2
"Manuel Schmitt",3
"Manuel Wilhelm",1
"Marc Boßmann",2
"Marc Detzler",6
"Marc Jung",5
"Marc Kiefer",1
"Marc Leiner",0
"Marc Pingen",6
"Marc Pitz",3
"Marc Scherer",5
"Marc Schleich",14
"Marc-Oliver Weber",1
"Marc-Robin Eisel",0
"Marcel Becker",24
"Marcel Brill",9
"Marcel Eli",1
"Marcel Hoffmann",7
"Marcel Rodrigue",20
"Marcel Rudolph",6
"Marco Becker",0
"Marco Lauer",6
"marcus eisel",1
"Marcus Eschenbaum",0
"Marcus Hausknecht",5
"Marcus Hell",0
"Marek Galla",3
"Marius Deubel",2
"Marius Fuchs",8
"Marius Jakobs",3
"Marius Jung",3
"Marius Merziger",3
"Marius Mierau",1
"Marius Ruffing",1
"Mark Kopietz",1
"Marko Mrsic",16
"Markus Berendes",2
"Markus Budke",3
"Markus Dehmut",0
"Markus Dier",0
"Markus Eichbladt",0
"Markus Erschens",4
"Markus Geidel",4
"Markus Hell",2
"Markus Simon",1
"Markus Weber",0
"Martin Knoll",2
"Martin Meinhard",0
"Martin Rokay",1
"Marvin Klein",6
"Marvin Mebus",3
"Mathias Mohn",1
"Mathias Neusius",0
"Mathias Schulz",7
"Matthias Becker",0
"Matthias Böhm",5
"Matthias Brauch",0
"Matthias Brusdeilins",3
"Matthias Kockler",5
"Matthias Lermen",7
"Matthias Matheis",2
"Matthias Ottenbreit",0
"Matthias Puth",2
"Matthias Reuber",0
"Matthias Schneiders",0
"Maurice Brill",10
"Maurice Busch",0
"Maurice Groß",0
"Maurice Kopp",4
"Max Engel",3
"Max Hau",0
"Max Mees",18
"Maximilian Hein",1
"Maximilian Junius",14
"Maximilian Loschky",0
"Maximilian Schäfer",2
"Merlin Löb",0
"Micha Zimmer",16
"Michael Arnold",12
"Michael Bauer",26
"Michael Eich",0
"Michael Engel",0
"Michael Gornas",1
"Michael Hawner",2
"Michael Kreutz",1
"Michael Neuhäuser",1
"Michael Oehm",2
"Michael Paschke",4
"Michael Prediger",2
"Michael Scherer",12
"Michael Schmidt",5
"Michael Sonntag",0
"Michael Stauder",0
"Michael Wagner",0
"Michel Kaufmann",0
"Mike Groß",6
"Mike Hatzlhoffer",11
"Mike Heckel",0
"Mike Schäfer",2
"Mirco Frank",0
"Mirko Meisberger",5
"Moritz Helfen",3
"Moritz Pfaff",2
"Moritz Richter",6
"Moritz Wies",1
"Morten Martin",0
"Muhamet Durmishi",12
"Nico Gräber",2
"Nico Graeber",15
"Nico Heidweiler",2
"Nico Pulch",15
"Nico Ruby",0
"Nicolas Abel",0
"Niklas Eberhard",14
"Niklas Hoff",8
"Niklas Zimmer",7
"Nils Fellinger",5
"Nils Groß",4
"Nils Lauer",13
"Nils Schneider",0
"Nils Wöschler",10
"Olaf Zimmer",6
"Oliver Bard",0
"Oliver Gress",1
"Oliver Prinz",9
"Oliver Welker",0
"Pascal Bayer",1
"Pascal Boeckmann",0
"Pascal Junker",6
"Pascal Knerr",0
"Pascal Kossmann",0
"Pascal Meisberger",9
"Pascal Neumann",2
"Pascal Paul",4
"Pascal Simon",4
"Pascal Speicher",4
"Patric Turner",0
"Patrick L`hoste",10
"Patrick Zeitz",6
"Patrik Lengert",7
"Paul Oswald",0
"Paul Schumacher",2
"Peter Meiers",1
"Peter Müller",2
"Phil Bauer",0
"Philip Forster",5
"Philip Rauchschwalbe",4
"Philip Schwan",8
"Philipp Baus",7
"Philipp Daume",10
"Philipp Echternach",0
"Philipp Hawner",3
"Philipp Heil",0
"Philipp Henkel",17
"Philipp Knoll",0
"Philipp Kockler",14
"Philipp Kuhn",0
"Philipp Leffer",9
"Philipp Meiser",1
"Philipp Müller",1
"Philipp Stalter",0
"Phillip Kewenig",15
"Phillipp Both",0
"Phillipp Stopp",0
"Ralf Kreibig",0
"Ralf Wilhelm",8
"Ralph Rechkemmer",8
"Raphael Schneider",7
"Raphael Zey",0
"Ricardo Jung",1
"Roberto Di",1
"Robin Näckel",0
"Robin Scherschel",5
"Robin Schweitzer",6
"Roman Kolepp",1
"Rouven Latz",1
"Rouven Louis",1
"Roven Ternette",1
"Rüdiger Lydorf",2
"Ruwen Schäfer",5
"Sascha Becker",11
"Sascha Engstler",0
"Sascha Erbelding",7
"Sebastian Blatt",2
"Sebastian Heisel",0
"Sebastian Hoffmann",1
"Sebastian Johannes",0
"Sebastian Kilthau",3
"Sebastian Mathieu",5
"Sebastian Meister",5
"Sebastian Saar",0
"Sebastian Seiden",3
"Sebastian Spang",2
"Sebastian Stein",0
"Sebastian Strauch",2
"Sebastian Weisenseel",1
"Sebastian Westrich",1
"Sebastian Zapp",2
"Simon Aatz",2
"Simon Altmeyer",2
"Simon Bessey",0
"Simon Bettscheider",1
"Simon Blank",0
"Simon Jost",0
"Simon Kalb",2
"Simon Rosinus",0
"Simon Scheller",3
"Simon Weißbrod",0
"Stefan Baab",0
"Stefan Becker",0
"Stefan Bommer",2
"Stefan Bullacher",0
"Stefan Dressler",0
"Stefan Marx",0
"Stefan Rugullies",1
"Stefan Trenz",0
"Steffen Becker",4
"Sven Anhaus",2
"Sven Bost",0
"Sven Guthörl",0
"Sven Klein",1
"Sven-Malte Hoffmann",11
"Theo Potdevin",0
"Thomas Jakobs",0
"Thomas Jung",5
"Thomas Kirsch",4
"Thomas Stumm",3
"Thomas Werner",3
"Thomas Zellmer",9
"Thorsten Deutsch",3
"Thorsten Dillbaum",9
"Thorsten Hubert",0
"Till Jose",3
"Till Wöschler",9
"Tilman Arweiler",9
"Tim Bohlinger",4
"Tim Donate",3
"Tim Groß",9
"Tim Kern",2
"Tim Keßler",1
"Tim Laier",1
"Tim Scherschel",1
"Tim Stillemunkes",0
"Tim Weber",7
"Timo Kraus",0
"Timo Scherer",10
"Timo Spaniol",3
"Timo Weis",0
"Timo Wilhelm",0
"Tobias Bernardi",5
"Tobias Deutsch",0
"Tobias Hans",2
"Tobias Henrikus",0
"Tobias Karrenbauer",0
"Tobias Kropf",8
"Tobias Krumm",0
"Tobias Lorscheider",4
"Tobias Mersdorf",2
"Tobias Ranft",9
"Tobias Schwindling",13
"Tobias Seiler",2
"Tobias Stauch",3
"Tobias Troike",12
"Tobias Turich",0
"Tom Hoferichter",0
"Tomas Schlegel",22
"Torben Helfgen",0
"Torsten Mager",0
"Torsten Zimmer",2
"Ulrich Brück",1
"Uwe Platz",4
"Vadym Tarasov",5
"Vitali Kolmakov",0
"Yannick Belieres",1
"Yannick Cordes",3
"Yannick Mangold",0
"Yannick Pressmann",18
"Yannik Jungblut",17
"Yannik Obertreis",5
"Yannis Karl",0
