"Name","Tore"
"Alexander Bernardy",1
"Alexander Eusterholz",0
"Alexander Herzig",4
"Alexander Sema",0
"Alexander Wolfram",5
"Bastian Stuiber",0
"Christoph Friesen",2
"Daniel Backes",10
"Daniel Konrad",3
"Darius Jonczyk",0
"Dean Schacht",3
"Dino Zvekic",1
"Elias Ebert",1
"Eric Werle",3
"Fabian Abel",0
"Fabian Becker",1
"Fabian Bunte",0
"Fabian Naumann",1
"Falk Wagner",1
"Finn Martin",11
"Florian Aatz",0
"Florian Schröder",0
"Florian Westrich",8
"Gerrit Peitsch",0
"Gilles Thierry",5
"Giona Dobrani",3
"Hendrik Huth",7
"Hennadii Kucher",4
"Jan Peter",7
"Jan Schattschneider",1
"Janis Schacht",0
"Jannik Reinshagen",0
"Jannis Lorenz",0
"Jens Weißmann",0
"Jerome Wiegert",0
"Joachim Portz",0
"Johannes Beck",2
"Jonas Ohlmann",3
"Jonathan Welsch",5
"Joshua Schöneberger",0
"Julien Bro",0
"Julien Santarini",0
"Karsten Roser",0
"Kevin Singh",4
"Konrad Wagner",15
"Lars Schirra",0
"Lars Schlicker",3
"Leo Zeimet",6
"Leon Scheid",1
"Luca Stenger",0
"Lukas Klein",1
"Luke Kleiber",0
"Marcel Rudolph",1
"Marco Moritz",0
"Marko Grgic",13
"Markus Erschens",0
"Martin Rokay",0
"Marvin Theobald",0
"Maurice Kaufeld",2
"Maurice Kopp",4
"Maximilian Sema",0
"Micha Zimmer",1
"Michael Arnold",1
"Michael Bauer",16
"Michael Engel",0
"Michael Oehm",3
"Nico Becker",4
"Nico Gräber",0
"Nicolas Abel",3
"Niklas Eberhard",4
"Niklas Louis",6
"Nikolai Omlor",2
"Nikolas Jung",1
"Nils Wöschler",0
"Paul Oswald",0
"Philip Forster",4
"Philipp Echternach",0
"Philipp Henkel",3
"Philipp Krangemann",2
"Philipp Meiser",5
"Phillip Kewenig",0
"Pius Amann",2
"Samir Altpeter",3
"Sascha Becker",0
"Sebastian Klein",4
"Sven Klein",2
"Thomas Forster",0
"Thomas Zellmer",6
"Thorsten Dillbaum",3
"Till Jose",0
"Till Wöschler",2
"Tim Altmeyer",7
"Tim Dax",1
"Timm Reinert",3
"Timo Scherer",0
"Tobias Bernardi",2
"Tom Schlicker",2
"Vincent Hein",0
"Yannick Engel",5
