"Name","Tore"
"Alexander Deckarm",0
"Alexander Gräber",3
"Andreas Schmitt",0
"Bastian Prinz",5
"Benjamin Bus",0
"Björn Feit",0
"Björn Schwab",2
"Cedric Maurer",9
"Christian Gehm",6
"Christian Henkes",0
"Christian Jung",2
"Christian Nick",5
"Christian Seiler",3
"Christof Keller",0
"Christoph Senzig",3
"Clemens Jung",0
"Daniel Dörr",2
"Daniel Keller",9
"Daniel Kettering",0
"Daniel Mörsdorf",0
"Daniel Weber",0
"Darius Kopp",0
"Dennis Bernt",0
"Domenic Spalt",4
"Dominik Robert",0
"Eduardo Parducci",1
"Enrico Sperker",0
"Eric Grünemeier",1
"Etienne Müller",0
"Fabian Wecker",1
"Fabian Wiesel",11
"Felix Faller",22
"Florian Beqiri",2
"Florian Stumpf",1
"Hendrik Balthasar",1
"Jan Hippchen",8
"Jannik Reiter",0
"Jannis Poncelet",3
"Jim Sander",3
"Johannes Schu",3
"Johannes Zeyer",6
"Jonas Hubertus",0
"Jonas Speicher",2
"Jonas Ziegler",0
"Joschi Wagner",0
"Joshua Jungblut",11
"Joshua Wolf",3
"Justus Linnenbach",6
"Kevin Hinsberger",0
"Lennart Poncelet",1
"Luca Schichtel",10
"Lucas Weißmann",8
"Lukas Fischer",5
"Lukas Keller",0
"Lukas Schwindling",4
"Manuel Cwick",0
"Manuel Schmitt",4
"Marc Jung",0
"Marcel Hoffmann",0
"Marco Schuler",10
"Marco Tosetto",0
"Marius Mierau",0
"Marvin Klein",0
"Marvin Schug",8
"Matthias Brusdeilins",3
"Matthias Ottenbreit",0
"Matthias Reuber",0
"Max Laier",5
"Maximilian Bölke",5
"Maximilian Junius",2
"Maximilian Schäfer",0
"Michael Gornas",0
"Michael Hawner",7
"Michael Paschke",1
"Mike Finkler",7
"Moritz Willscheid",6
"Niklas Ruster",0
"Nils Groß",4
"Nils Hector",0
"Nils Lauer",6
"Norbert Petö",2
"Oliver Zeitz",11
"Philip Schönecker",0
"Philip Schwan",3
"Philipp Both",0
"Philipp Leffer",2
"Ralf Wilhelm",0
"Roberto Di",2
"Rouven Latz",0
"Rouven Louis",1
"Sebastian Blatt",6
"Sebastian Regitz",3
"Sebastian STOLL",2
"Sören Pressmann",1
"Stefan Dressler",0
"Sven Guthörl",0
"Till Pankuweit",15
"Tim Andler",0
"Tim Malsac",0
"Timo Spaniol",1
"Tobias Deutsch",0
"Tobias Hans",2
"Tobias Seiler",0
"Valentin Poro",9
"Wieland Welsch",0
"Yannick Pressmann",7
