"Name","Tore"
"Aaron Braun",4
"Alexander Bernardy",0
"Alexander Deckarm",9
"Alexander Eusterholz",27
"Alexander Herzig",48
"Alexander Sauder",25
"Alexander Sema",36
"Alexander Wolfram",70
"Andreas Habermann",16
"Andreas Kempf",27
"Andreas Nonnweiler",3
"Andreas Schmitt",9
"Angelo Lo",5
"Bastian Prinz",26
"Bastian Stuiber",10
"Benedict Haubeil",40
"Benjamin Bus",3
"Björn Buschmann",55
"Björn Feit",1
"Bro Julien",0
"Carsten Mildenberger",4
"Cedric Maurer",15
"Christian Jung",43
"Christian Mühler",1
"Christian Ruppert",1
"Christian Schauer",0
"Christian Seiler",3
"Christoph Friesen",13
"Christoph Holz",3
"Christopher Persch",0
"Daniel Altmeyer",21
"Daniel Dörr",5
"Daniel Konrad",40
"Daniel Müller",4
"Daniel Weber",1
"Daniel Wenzel",1
"Darius Kopp",31
"David Dorscheid",8
"David Eckert",0
"David Leffer",41
"David Pfiffer",1
"David Szilagyi",102
"Dean Schacht",4
"Dennis Koppenburg",3
"Dino Zvekic",23
"Dominik Klein",2
"Dominik Vogelgesang",38
"Edvinas Vorobjovas",54
"Elias Ebert",34
"Elias Hoff",0
"Enrico Sperker",43
"Eric Grünemeier",6
"Eric Mammolito",1
"Eric Werle",40
"Erik Pohland",0
"Fabian Abel",35
"Fabian Becker",33
"Fabian Großmann",4
"Fabian Naumann",7
"Fabian Roth",1
"Fabian-Nico Müller",17
"Falk Wagner",10
"Felix Dettinger",16
"Florian Aatz",0
"Florian Beqiri",60
"Florian Caprano",110
"Florian Denk",0
"Florian Schröder",0
"Florian Stumpf",6
"Florian Westrich",35
"Fynn david",0
"Georg Nukradze",19
"Gerrit Peitsch",31
"Gian-Luca Tartoni",0
"Giona Dobrani",0
"Hendrik Huth",8
"Hendrik Lindemann",1
"Hendrik Rolshausen",81
"Hendrik Schmidt",40
"Hennadii Kucher",57
"Henry Müller",10
"Holger Kalkoffen",0
"Jan Böing",61
"Jan Braunhardt",2
"Jan Hippchen",40
"Jan Kreibig",0
"Jan Peter",29
"Jan Schattschneider",3
"Janis Schacht",22
"Jannik Gundert",5
"Jannik Reinsahgen",1
"Jannik Reinshagen",21
"Jannik Reiter",2
"Jannis Lorenz",11
"Jannis Poncelet",27
"Jannis Prinz",5
"Jelle Van",23
"Jens Staub",1
"Jens Weißmann",0
"Joachim Portz",0
"Johannes Beck",18
"Johannes Knoll",23
"Johannes Leffer",48
"Johannes Martini",4
"Johannes Schu",6
"Johannes Zeyer",4
"Jonas Haupenthal",0
"Jonas Hubertus",0
"Jonas Ohlmann",8
"Jonas Peifer",17
"Jonas Speicher",20
"Jonas Wörner",5
"Jonas Ziegler",7
"Joonas Weppler",66
"Jörg Waerder",0
"Joschi Wagner",0
"Joshua Jungblut",30
"Joshua Wolf",25
"Julian Eisel",4
"Julian Hertweck",0
"Julian Kreis",7
"Julian Setter",1
"Julian Ternette",0
"Julien Bro",1
"Julien Santarini",3
"Juraj Urban",34
"Justus Linnenbach",0
"Kai Baab",0
"Kai Nonnweiler",1
"Karsten Roser",9
"Kevin Hinsberger",1
"Kevin König",13
"Kevin Singh",57
"Kian Schwarzer",3
"Lars Cullman",0
"Lars Gräbel",0
"Lars Helle",2
"Lars Ihl",72
"Lars Schirra",28
"Lars Schlicker",56
"Lars Scholly",10
"Lars Zimmer",22
"Lennart Poncelet",25
"Leon Scheid",35
"Leonard Frisch",9
"Leonard Schikofski",5
"Leonhard Frisch",5
"Luca Echternach",0
"Luca Forchner",16
"Luca Schichtel",37
"Lukas Böing",13
"Lukas Fischer",11
"Lukas Glück",64
"Lukas Klein",33
"Lukas Majbik",14
"Lukas Schwindling",68
"Lukas Weiland",4
"Luke Kleiber",3
"Maik Wiltz",4
"Manuel Cwick",0
"Manuel Heinz",3
"Manuel Schäfer",0
"Manuel Schmitt",27
"Manuel Wilhelm",24
"Marc Jung",18
"Marc Scholly",27
"Marcel Becker",7
"Marcel Rudolph",47
"Marco Becker",0
"Marco Moritz",0
"Marco Schuler",61
"Marco Tosetto",10
"Marcus Eschenbaum",0
"Marius Mierau",4
"Markus Dier",0
"Markus Erschens",17
"Markus Löffler",0
"Martin Bruch",5
"Martin Jaedicke",1
"Martin Knoll",7
"Martin Rokay",8
"Marvin Hoff",34
"Marvin Mebus",1
"Marvin Schug",16
"Marvin Theobald",1
"Mathias Mohn",5
"Matthias Böhm",82
"Maurice Brill",27
"Maurice Kopp",67
"Max Engel",16
"Max Laier",3
"Max Loschky",0
"Max Mees",5
"Maximilian Junius",22
"Maximilian Loschky",0
"Maximilian Sema",12
"Michael Arnold",33
"Michael Bauer",68
"Michael Engel",0
"Michael Hawner",56
"Michael Kaufmann",0
"Michael Mathieu",2
"Michael Oehm",20
"Michael Paschke",14
"Michael Zimmer",0
"Michel Kaufmann",7
"Mike Finkler",60
"Mike White",2
"Möesdorf Daniel",0
"Moritz Jost",7
"Moritz Richter",24
"Moritz Willscheid",76
"Muhamet Durmishi",28
"Nenad Pavlovic",0
"Nico Gräber",32
"Nico Müller",25
"Nicolas Gilcher",94
"Nicolas Poncelet",0
"Niklas Eberhard",131
"Niklas Ruster",2
"Nils Groß",29
"Nils Hector",8
"Nils Lauer",85
"Nils Schneider",0
"Nils Wöschler",0
"Norman Kelkel",2
"Oliver Gress",6
"Oliver Zeitz",41
"Pascal Boeckmann",0
"Pascal Meisberger",3
"Pascal Paul",14
"Patrick Bach",4
"Patrick Gerath",0
"Patrick Guldner",3
"Patrick Nicola",2
"Paul Oswald",3
"Philip Forster",41
"Philip Rauchschwalbe",20
"Philip Schönecker",0
"Philipp Baus",21
"Philipp Daume",58
"Philipp Echternach",0
"Philipp Henkel",45
"Philipp Kockler",27
"Philipp Krangemann",48
"Philipp Kuhn",10
"Philipp Leffer",44
"Philipp Meiser",104
"Philipp Rauchschwalbw",0
"Philipp Sauder",0
"Philipp Stopp",10
"Phillip Kewenig",42
"Phillipp Stopp",2
"Pilipp Stopp",2
"Pius Amann",15
"Ralf Kreibig",51
"Ralf Wilhelm",32
"Ralph Rechkemmer",3
"Robin Näckel",0
"Robin Schweitzer",12
"Roman Kolepp",10
"Rouven Latz",1
"Ruwen Schäfer",28
"Samir Altpeter",19
"Sascha Becker",65
"Sebastian Berger",8
"Sebastian Blatt",11
"Sebastian Herb",1
"Sebastian Hoffmann",59
"Sebastian Lamber",13
"Sebastian Mathieu",32
"Sebastian Ruppert",3
"Sebastian Seidens",21
"Sebastian Spang",7
"Sebastian STOLL",25
"Simon Kirschweng",1
"Simon Scheller",1
"Stefan Bommer",15
"Stefan Dressler",0
"Steven Gersing",0
"Sven Guthörl",1
"Sven Hendle",1
"Sven Klein",4
"Sven Müller",0
"Thomas Forster",4
"Thomas Kirsch",1
"Thomas Zellmer",42
"Thorsten Bas",22
"Thorsten Dillbaum",57
"Thorsten Huber",0
"Till Hasper",5
"Till Pankuweit",92
"Tim Andler",6
"Tim Dax",39
"Tim Groß",1
"tim Laier",7
"Tim Laier",2
"Tim Leidinger",1
"Tim Reinert",3
"Timm Reinert",27
"Timo Scherer",45
"Timo Spaniol",9
"Timo Wallrich",55
"Tobias Adam",0
"Tobias Bernardi",10
"Tobias Deutsch",0
"Tobias Hans",8
"Tobias Krumm",1
"Tobias Lorenz",13
"Tobias Ranft",23
"Tobias Schwindling",7
"Tobias Seiler",14
"Tom Ihl",1
"Tomas Schlegel",30
"Torsten Fels",0
"Torsten Zimmer",73
"Vincent Hein",0
"Vitali Kolmakov",4
"Wolf Wagner",0
"Wolfgang Braun",0
"Yannick Engel",0
"Yannick Kiefer",1
"Yannick Pressmann",75
"Yannik Jungblut",57
"Yannis Thiel",19
"Zimmer Torsten",6
