"Name","Tore"
"Alexander Ettelbrück",9
"Alexander Kundi",2
"Aron Prisson",2
"Björn Buschmann",2
"Carsten Schneider",0
"Christian Breinig",0
"Christian Weber",6
"Christoph Lebold",8
"Daniel Zehrden",4
"Dennis Dönig",4
"Elias Hoff",0
"Erik Brill",0
"Eugen Freidich",1
"Fabian Großmann",0
"Florian Zipfel",1
"Frederik Schmitt",2
"Gereon Maus",5
"Jens Wagner",2
"Joel Ebert",1
"Johannes Mauer",0
"Joshua Raber",7
"Kevin König",5
"Kevin Windisch",4
"Lars Krämer",0
"Lukas Egler",0
"Lukas Koschorke",0
"Manuel Heinz",2
"Marc Pingen",4
"Marco Moritz",0
"Marco Poncelet",1
"Marius Jung",3
"Marvin Raubuch",0
"Matthias Freitag",3
"Matthias Kockler",1
"Max Hau",2
"Maximilian Zipfel",5
"Michael Backes",0
"Michael Oehm",2
"Michael Rosar",4
"Michael Scherer",13
"Michael Wernet",4
"Michel Kaufmann",0
"Mike White",0
"Mirko Meisberger",0
"Nico Schneider",0
"Niklas Zimmer",3
"Nils Waltner",0
"Oliver Gress",1
"Oliver Prinz",0
"Oliver Steinel",0
"Oliver Werner",4
"Pascal Ginsbach",0
"Pascal Junker",1
"Patrik Lengert",2
"Paul Oswald",0
"Philipp Müller",2
"Ralf Kreibig",3
"Robin Schweitzer",4
"Robin Wagner",2
"Sebastian Seidens",12
"Simon Altmeyer",3
"Simon Jost",0
"Stefan Baab",0
"Stefan Bommer",1
"Steven Klein",4
"Thomas Forster",4
"Thorsten Huber",0
"Timo Wallrich",12
"Timo Wilhelm",0
"Yannic Keßler",0
