"Name","Tore"
"´Michael Paschke",2
"81 Nr.",81
"Adrian Montag",1
"Alexander Ettelbrück",30
"Alexander Henkes",0
"Alexander Kundi",30
"Andreas Barbian",2
"Andreas Fischer",0
"Bastian Liedtke",21
"Benedikt Neufang",17
"Benedikt Selzer",1
"Benjamin Brück",2
"Benjamin Schanne",5
"Berendes Markus",1
"Björn Schäfer",3
"Carsten Schneider",0
"Christian Becker",0
"Christian Breinig",0
"Christian Frank",0
"Christian Gehm",47
"Christian Henkes",0
"CHristian Henkes",3
"Christian Jungbluth",0
"Christian Leinen",5
"Christian Mahler",11
"Christian Nick",43
"Christian Sorg",32
"Christian Urban",40
"Christian Weber",76
"Christof Keller",53
"Christoph Lebold",68
"Christoph Rausch",3
"Christopher Altmeyer",15
"Christopher Persch",35
"Daniel Adolph",3
"Daniel Dörr",11
"Daniel Hartmann",4
"Daniel Keller",27
"Daniel Schröder",0
"Daniel Zehrden",12
"David Eckert",0
"David Klein",27
"David Lehnert",0
"David Wacheck",3
"Dennis Dönig",39
"Dennis Jager",8
"Dennis Koppenburg",17
"Dennis Mathieu",1
"Domenic Spalt",29
"Dominik Kiefer",0
"Dominik Weber",3
"Dragan Raspudic",59
"Egler Till",2
"Elias Hoff",1
"Elias Wagner",3
"Eric Grünemeier",32
"Eric Mammolito",6
"Erik Brill",4
"Eugen Freidich",17
"Fabian Arweiler",4
"Fabian Berres",0
"Fabian Engels",21
"Fabian Großmann",8
"Fabian Marius",0
"Fabian Möhlecke",0
"Fabian Steffen",3
"Fabian Wiesel",34
"Fabian-Nico Müller",31
"Fabio Castronovo",6
"Falk Wagner",15
"Felix Wartenpfuhl",3
"Florian Georg",0
"Florian Zipfel",20
"Frederick Hoffmann",13
"Frederik Ehl",0
"Frederik Schulien",8
"Gabriel Lang",1
"Gereon Maus",28
"Glen Luga",2
"Ian Sachs",0
"Jan Kreibig",17
"Jan Lukas",0
"Jan Peter",5
"Jan Riedesel",12
"Jan Weber",0
"Jan-Luca Schön",1
"Janik Gundert",0
"Janis Schacht",9
"Jannik Gundert",30
"Jannis Prinz",9
"Janosch Kessler",29
"Jens Ehrich",9
"Jens Schackmann",11
"Jens Staub",27
"Jens Wagner",11
"Jerome Lange",0
"Joachim Portz",4
"Joel Ebert",2
"Johannes Mauer",19
"Johannes Sorg",29
"John Lehnert",11
"Jonas Birtel",2
"Jonas Kollmannsberger",0
"Jonas Kollmannsperger",8
"Jonas Mayer",7
"Jonas Ohlmann",52
"Jörg Thönes",17
"Joschi Wagner",21
"Joshua Jacobsen",0
"Joshua Raber",1
"Julian Molter",4
"Julian Setter",11
"Justus Linnebach",3
"Justus Linnenbach",4
"Kenny Janzon",24
"Kevin Ehrenberg",0
"Kevin König",36
"Kevin Windisch",12
"Klein Marvin",2
"Lars Cullman",0
"Lars Cullmann",0
"Lars Krämer",4
"Lars Rieder",15
"Leon Scheid",6
"Leonhard Arweiler",27
"Luca Echternach",6
"Lucas Weißmann",31
"Luka Jaric",0
"Lukas Bennoit",17
"Lukas Berger",0
"lukas Böing",4
"Lukas Böing",23
"Lukas Keller",0
"Lukas Klein",7
"Lukas Knehr",1
"Lukas Liedke",0
"Lukas Löhr",0
"Lukas Reichmann",38
"Lutz Schneider",63
"Maik Ferber",14
"Manuel Heinz",9
"Manuel Hoen",0
"Marc Boßmann",8
"Marc Müller",2
"Marc Pingen",37
"Marc Pitz",2
"Marc Schleich",80
"Marcel Brill",16
"Marcel Hoffmann",11
"Marco Becker",0
"Marco Fuchs",0
"Marco Löwenbrück",5
"Marco Moritz",0
"Marco Poncelet",21
"Marcus Hausknecht",2
"Marius Dobrajc",0
"Marius Jung",28
"Markus Baab",0
"Markus Berendes",0
"Markus Dier",7
"Markus Hell",2
"Markus Maas",4
"Markus Simion",1
"Markus Simon",5
"Marlon Koch",1
"Martin Walther",0
"Marvin Klein",13
"Mathias Hoffmann",0
"Mathias Klos",2
"Matthias Bauer",9
"Matthias Böhm",4
"Matthias Brill",2
"Matthias Brusdeilins",5
"Matthias Ettelbrück",5
"Matthias Freitag",13
"Matthias Klos",0
"Matthias Matheis",37
"Matthias Ottenbreit",0
"Matthias Schneiders",0
"Maurice Groß",0
"Max Hau",5
"Maxim End",0
"Maximilian Gast",0
"Maximilian Schäfer",0
"Maximilian Zipfel",63
"Michael Backes",2
"Michael Göbel",0
"Michael Gornas",2
"Michael Neuhäuser",0
"Michael Prediger",3
"Michael Scherer",59
"Michael Simon",0
"Michael Sonntag",0
"Michael Wernet",20
"Mirko Meisberger",11
"Moritz Kirchhoff",0
"Moritz Pfaff",2
"Moritz Richter",36
"Niclas Oerter",8
"Nico Schneider",6
"Nicolas Grimm",26
"Niklas Zimmer",20
"Nikolai Omlor",43
"Nikolas Jung",23
"Nikolas Spröder",4
"Nils Fellinger",11
"Oliver Prinz",1
"Oliver Schank",0
"Oliver Werner",22
"Pascal Ginsbach",1
"Pascal Junker",17
"Pascal Kosmann",0
"Pascal Speicher",24
"Patrick L`hoste",40
"Patrick Richter",45
"Patrick Walerus",0
"Patrik Lengert",9
"Paul Rump",5
"Peter Jungblut",6
"Peter Müller",11
"Phil Bauer",0
"Philip Schönecker",8
"Philip Schwan",24
"Philipp Both",1
"Philipp Echternach",0
"Philipp Fuchs",0
"Philipp Gast",0
"Philipp Hawner",10
"Philipp Jäckel",0
"Philipp Kiefer",34
"Philipp Klees",0
"Philipp Müller",9
"Raphael Schneider",35
"Robin Wagner",6
"Salvatore Di",0
"Sascha Engstler",0
"Sascha Erbelding",14
"Schuch Holger",0
"Sebastian Grimm",6
"Sebastian Heisel",0
"Sebastian Kasper",7
"Sebastian Kilthau",0
"Sebastian Regitz",8
"Sebastian Spies",0
"Sebastian Stoll",5
"Sebastian STOLL",8
"Sebastian Strauch",6
"Simon Altmeyer",21
"Simon Demmer",3
"Simon Kalb",1
"Simon Rosinus",0
"Stefan Baab",0
"Stefan Becker",38
"Stefan Gill",4
"Stefan Marx",61
"Steffen Becker",10
"Steven Klein",1
"Sven Anhaus",15
"Sven-Malte Hoffman",1
"Swen Meisberger",0
"Tarek Becker",0
"Thijs Van",34
"Thomas Forster",11
"Thomas Schäfer",0
"Thomas Spies",9
"Thoms Spies",2
"Thorsten Lang",0
"Till Egler",5
"Till Hasper",37
"Tilman Arweiler",16
"Tim Eder",21
"Tim Kaiser",1
"Tim Malsac",1
"Tim Weber",11
"Timo Wallrich",65
"Timo Wilhelm",0
"Tobias Jager",7
"Tobias Karrenbauer",0
"Tobias Stemler",9
"Tobias Troike",12
"Ulrich Brück",0
"Wolf Wagner",7
"Yannick Hellriegel",1
"Yannick Kiefer",0
"Yannik Geber",0
"Yannik Obertreis",16
