"Name","Tore"
"Aaron Hofmann",2
"Adrian Cule",0
"Alexander Scholz",10
"André Pitthan",0
"Anton Dietz",1
"Arne Schäfer",69
"Axel Muskat",3
"Bastian Neubauer",9
"Ben Hartmann",1
"Benedikt Dehe",5
"Christoph Auer",22
"Christoph Schneider",1
"Clemens Diehl",0
"Daniel Klar",9
"Daniel Milingert",0
"Daniel Milosavljevic",15
"Daniel Schneider",0
"Daniel Speicher",0
"Dave-Vincent Richter",0
"David Fokken",10
"David Müsel",1
"David Ponstein",8
"Denis Milosavljevic",10
"Dennis Schneider",0
"Dominic Gerbes",53
"Eduard Schmidgal",3
"Elias Brandt",49
"Elias Fiechtner",0
"Elias Horn",36
"Eric Schank",9
"Eric Schneidereit",42
"Erik Schopp",0
"Fabian Schmidt",44
"Fabian Schwarzer",15
"Fabian Wolf",0
"Fabio Wille",0
"Felix Jutzi",0
"Felix Kadow",1
"Felix Kaiser",10
"Felix Luth",0
"Finn-Luca Bauer",1
"Florian Aatz",0
"Florian Schlautmann",10
"Florian Westrich",39
"Fynn Ackermann",56
"Fynn Gattermann",8
"Gabriel Sager",0
"Gabriel Schmauß",17
"Gideon Barth",0
"Glen Luga",30
"Hagen Druck",53
"Haris Catovic",9
"Hendrik Stromberg",0
"Jacob Ullmann",12
"Jakob Gauf",37
"Jakob Wachter",0
"Jakob Wulf",0
"Jan Christian",8
"Jan Eckel",1
"Jan Eric",19
"Jan Lukas",47
"Jan Matthes",11
"Jannik Kabasaj",2
"Jannis Roschel",121
"Johannes Horn",0
"Johannes Köster",1
"John Pelz",54
"Jona Rietz",19
"Jonas Dissinger",44
"Jonas Henze",0
"Jonas Mayer",52
"Jonathan Bergner",23
"Joshua Faust",19
"Joshua Jungblut",47
"Joshua Pfeifer",0
"Joshuar Faust",3
"Julian Philipp",24
"Julius Voß",20
"Justus Broo",35
"Kilian Mantyk",3
"Konrad Worf",9
"Lars Boeckmann",7
"Lars Ludwig",51
"Lars Zalik",0
"Laurenz Keil",12
"Lennard Weber",5
"Leo Hahn",16
"Leon Dudenhöffer",4
"Leon Zwißler",0
"Leopold Heucher",14
"Liam Kleinhans",0
"Linus Maxim",8
"Louis Hürter",14
"Louis Weisenberger",24
"Luca Bach",40
"Luca Braun",14
"Luca Echternach",9
"Luca Hilsdorf",2
"Luca Lanfermann",11
"Lucas Weil",45
"Luckas Ihmer",3
"Luka Wilbrandt",5
"Lukas Hochgesand",19
"Lukas Ihmer",56
"Lukas Wolf",37
"Lukas-Aldar Emmel",1
"Malte Dorra",19
"Malte Wolf",1
"Marc Bappert",41
"Marc Heydrich",16
"Marc Simon",8
"Marc Wolf",7
"Marcel Reis",32
"Marcello Ammer",1
"Marco Schneider",74
"Marius Janes",0
"Marlon Koch",11
"Martin Walther",25
"Marvin Oehler",13
"Mathias Kuksa",0
"Matthias Heinz",0
"Maurice Mohr",16
"Max Dietrich",19
"Max Dotterweich",5
"Max Junglas",2
"Max Laier",29
"Max Martin",5
"Max Vogel",46
"Maxime Kipper",0
"Maximilian Gast",11
"Maximilian Wolf",29
"Maximilian Zürbes",26
"Mayer Jonas",7
"Merlin Löb",0
"Michel Albert",82
"Mick Gartner",31
"Micke Gartner",3
"Mihailo Ilic",39
"Mika Schüler",60
"Mike Gartner",6
"Mirco Heckert",2
"Mirko Esser",3
"Mirko Stelter",9
"Moritz Ballreich",0
"Moritz Bauer",22
"Moritz Fuchs",0
"Moritz Giebel",0
"Moritz Groß",20
"Moritz Kessler",12
"Moritz Michel",34
"Moritz Schöllhorn",77
"Moritz Schulz",4
"Nick Haas",22
"Niclas Josten",22
"Nico Czajka",11
"Nico Kunz",3
"Nico Spira",3
"Nicolas Abel",41
"Nicolas Koch",6
"Niklas Glindemann",15
"Niklas Hartmann",11
"Niklas Ihmer",10
"Niklas Sonek",0
"Niklas Steinmetz",25
"Niklas Wirbel",47
"Nils Boeckmann",0
"Nils Hector",16
"Nils Hottum",36
"Nils Scherthan",3
"Nisse Nehrdich",61
"Noah Caroli",3
"Noah Kohl",2
"Noah Kreis",10
"Nojus Koenen",11
"Oskar Reiners",10
"Patrick Friedmann",53
"Patrick Zimmer",19
"Paul Blohm",31
"Paul Kunkel",28
"Paul Werdich",60
"Peter Mittmann",60
"Philip Heid",0
"Philip Kaspar",39
"Philip Wichmann",5
"Philipp Alt",50
"Philipp Gast",10
"Philipp Haßley",13
"Philipp Magin",0
"Philipp Schloß",1
"Poro valentin",9
"Rafael Hurth",6
"Raphael Hurth",2
"Robert Gebhardt",11
"Robert Kühlmichel",0
"Robert Kühmichel",0
"Robert Lang",15
"Rokas Vaitekunas",9
"Sebastian Geis",37
"Sebastian Heß",0
"Sebastian Hessler",23
"Sebastian Krämer",26
"Silas Rogawski",62
"Simon Hebgen",1
"Simon Kirschweng",8
"Simon Richter",40
"Stefan Benz",33
"Steven Daniel",3
"Steven Dearing",1
"Sven Kaucher",2
"Tam Kiemle",1
"Tammo Kiemle",10
"TAMMO kKemle",0
"Tank Tom",3
"Thorben Schlüter",25
"Till Jose",21
"Till Ruhe",0
"Tillmann Becker",45
"Tim Becker",41
"Tim Hemmerle",18
"Tim Laier",35
"Timon Echternacht",2
"Tobias Fischer",0
"Tobias Hankeln",3
"Tom Tank",49
"Toni Ober",22
"Valentin Poro",30
"Valntin Poro",7
"Yannik Müller",0
"Yannik Stromberg",1
