"Name","Tore"
"Aaron Durnwalder",0
"Alex Coppola",7
"Andrea Delogu",1
"Andri Finnsson",3
"Andri Már",4
"Andrin Schneider",7
"Arnór Ísak",2
"Arnór Viðarsson",13
"Benedikt Gunnar",13
"Breki Hrafn",0
"Brynjar Vignir",2
"Ciril Spring",1
"Cristian Guggino",2
"Daniele De",2
"Dominik Ruh",1
"Einar Rafn",0
"Enrico Aldini",2
"Felix Aellen",1
"Florian Kranzmann",4
"Fynn-Luca Nicolaus",4
"Gabriele Sontacchi",2
"Gabriele Sortino",6
"Germano Albanini",0
"Giacomo Hrovatin",5
"Gian Tarneller",1
"Gunnar Hrafn",3
"Henri Dörflinger",1
"Ísak Gústafsson",7
"Joel Willecke",7
"Jóhannes Berg",4
"Kristján Pétur",1
"Kristófer Máni",12
"Lars Gross",1
"Lasse Ludwig",1
"Laurenz Kluth",10
"Laurin Rinderknecht",10
"Leon Ciudad-Benitez",1
"Lionel Mirdita",14
"Luigi Arena",7
"Lukas Osterwalder",4
"Marc Walter",2
"Mathis Häseler",8
"Mats Grupe",0
"Matthes Langhoff",7
"Matthis Blum",2
"Max Benecke",3
"Nicola Fadanelli",9
"Nicolas Waldvogel",2
"Nicolò Giulio",0
"Niklas Theiß",8
"Niko Bratzke",3
"Ole Pregler",5
"Ömer Koc",0
"Renars Uscins",13
"Riccardo Achille",0
"Robert Kraß",10
"Robin Heinis",10
"Roman Bachmann",0
"Samuele Serafini",0
"Símon Michael",5
"Thomas Bortoli",3
"Tim Freihöfer",11
"Tómas Sigurðsson",2
"Tommaso Romei",1
"Tryggvi Þórisson",1
"William Casarotto",1
