"Name","Tore"
"Aaron Schneider",14
"Aaron Störmer",29
"Adrian Montag",19
"Alexander Klein",2
"Anton Dietz",1
"Bastian Hubertus",7
"Bastian Schneider",4
"Bastian Tittelbach",0
"Bruno Timpano",1
"Christoph Schneider",22
"Clemens Buchheit",12
"Daniel Weis",9
"Dennis Schneider",2
"Dominik Gehl",3
"Dustin Schwindling",32
"Efraim Neumann",4
"Elias Wagner",35
"Enrico Maddalena",14
"Fabian Steffen",23
"Felix Storch",1
"Florian Knapp",1
"Gian-Luca Tartoni",0
"Guiliano Santamaria",1
"Henry Müller",30
"Jan Detemple",0
"Jan Hoffeld",0
"Jan Luca",0
"Jan-Mika Möhlecke",19
"Jannis Grausam",2
"Jeon Stumpf",2
"Johannes Müller",1
"Johannes Turich",0
"Jonas Eltges",0
"Jonathan Scherer",0
"Jonathan Welsch",16
"Joshua Maring",5
"Joshua-Nils Ruffing",2
"Julian Malz",0
"Julian Schmitt",0
"Justin Rieser",0
"Justus Linnenbach",38
"Kilian Miles",0
"Kim Maurice",2
"Lasse Beyer",0
"Leon Stumpf",6
"Leonard Schikofski",29
"Luca Störmer",0
"Luca Tobias",0
"Lukas Meyer",5
"Luke Kleiber",37
"Maik Wiltz",7
"Marcel Urhahn",6
"Marco Petry",6
"marius Schmitz",13
"Marvin Horst",10
"Marvin Theobald",0
"Mathias Dario",2
"Matthias Enrico",7
"Matthias Steuer",18
"Mattia Ando",3
"Maurice Groß",0
"Mavin Horst",2
"Max Rothbrust",3
"Max Schweizer",0
"Maximilian Hein",15
"Maximilian König",1
"Maximilian Linsler",9
"Maximilian Schikofski",36
"Maximilian Stephan",1
"Maximilian Wolfanger",3
"Moritz Giebel",0
"Moritz Hein",0
"Moritz Wies",42
"Nicholas Zellerhoff",6
"Nico Kreutzer",7
"Niklas Zangerle",0
"Nikolaus Reinert",6
"Nils Kavelius",1
"Noah Caroli",4
"Pascal Groß",0
"Philip Schisler",1
"Philipp Michler",8
"Philipp Rebmann",15
"Philipp Trost",1
"Richard Ickes",9
"Sascha Herber",21
"Sebastian Heisel",10
"Sebastian Pistorius",5
"Sebastian Spies",8
"Simon Wax",1
"Simon Wirth",26
"Sven Berthold",0
"Tammo Kiemle",5
"Till Egler",18
"Tilmann Kordas",13
"Tim Geibel",0
"Tim Laier",11
"Tim Leidinger",10
"Tim Lukas",9
"Tim Rein",1
"Wieland Welsch",19
"Yannick Wild",8
