"Name","Tore"
"Aaron Winkelhoff",0
"Aljoscha Becker",15
"Andre Dietrich",6
"André Pitthan",17
"Arved Horchheimer",43
"Bastian Schmidt",4
"Ben Brednich",6
"Ben Kölsch",34
"Benedikt Lahr",51
"Christién Schneider",0
"Colin Prieber",3
"Colin Rummel",0
"Daniel Schneider",0
"David Fokken",16
"David Manske",5
"Denis Milosavljevic",23
"Dennis Buchner",0
"Dominik Aatz",26
"Elias Fiechtner",21
"Elias Rudolf",11
"Elyas Noh",37
"Erik Schopp",0
"Etienne Berg",0
"Fabian Becker",18
"Fabian Mai",2
"Fabian Schwarzer",56
"Felix Florian",1
"Felix Hammes",0
"Felix Jutzi",0
"Felix Kaiser",5
"Felix Krining",1
"Felix Rothardt",26
"Felix Wolfanger",0
"Felix Wolfganger",2
"Felix Zech",24
"Finn Albright",1
"Finn Dotzauer",19
"Finn Martin",35
"Finn-Luca Bauer",13
"Finnian Swarowsky",1
"Florian Filippi",1
"Fynn Corcilius",5
"Fynn Larres",0
"Gil Kunkel",0
"Hendrik Stromberg",0
"Henning Marx",11
"Ivan Daniel",1
"Jacob Ullmann",45
"Jakob Schaum",0
"Jan Sauerwein",12
"Jan Seibert",11
"Jan-Luca Krömer",16
"Jan-Ole Schimmel",11
"Jannis Schild",4
"Jared Kelly",0
"Jens Boßlet",35
"Johannes Köster",15
"Johannes Schramm",15
"Jona Fink",16
"Jona Rietz",33
"Jona Rogawski",1
"Jonah Biehl",0
"Jonas Bornmann",2
"Jonas Kewenig",2
"Jonas Viviani",0
"Joshua Reitz",29
"Joshua Schöneberger",24
"Julian Becker",17
"Julian Hügel",19
"Julian Schäfer",0
"Keno Bjarne",0
"Konrad Wagner",36
"Lars Bräuer",0
"Lars Fischer",0
"Laurin Karrenbauer",2
"Lennart Karrenbauer",13
"Leo Schumacher",0
"Leon Back",0
"Leon Veselaj",12
"Leonard Bungert",0
"Levin Bohn",0
"Louis Auster",13
"Louis Radics",11
"Luca Hess",15
"Luca Mariani",1
"Luca Stenger",19
"Luis Enrique",6
"Luis Friedrich",0
"Luis Henkel",0
"Lukas Kessel",51
"Lukas Schui",13
"Lukas Wesche",1
"Lukas-Aldar Emmel",18
"Malte Dorra",60
"Malte Wolf",13
"Marco Brügel",0
"Marco Jöst",15
"Marcus Döpp",2
"Marian Graff",8
"Marko Grgic",69
"Markus Döpp",0
"Marlon Werner",4
"Marvin Buch",46
"Matteo Pusceddu",35
"Maurice Bendjeddou",0
"Mauro Neu",2
"Max Dotterweich",19
"Max Schleier",1
"Max Weber",1
"Maximilian Kroner",1
"Maximilian Schikofski",7
"Maximilian Wald",0
"Mika Helf",14
"Moritz Burmeister",0
"Moritz Crummenauer",0
"Moritz Eis",52
"Moritz Kessler",25
"Moritz Reuter",54
"Moritz Schulz",20
"Niclas Josten",44
"Nico Becker",40
"Nico Simon",0
"Niklas Ernst",2
"Niklas Glindemann",54
"Niklas Ihmer",97
"Niklas Thiede",10
"Nils Frisch",0
"Noah Scherschel",0
"Noah Weinand",8
"Noi Arnarsson",0
"Osian Stoltz",3
"Pascal Schöneck",23
"Paul Frey",23
"Paul Kunkel",42
"Paul Rutz",0
"Paul Schleier",3
"Peter Gohl",35
"Philip Wichmann",4
"Philipp Abel",0
"Philipp Alt",31
"Philipp Baro",49
"Philipp Osterhagen",5
"Robin Fuchs",0
"Rouven Schneider",6
"Samuel Di",6
"Samuel Winter",31
"Sebastian Heß",0
"Simon Flesch",21
"Simon Rudolph",0
"Simon Speth",10
"Thorben Hofmann",0
"Til Crummenauer",0
"Till Schenkel",57
"Tim Altmeyer",37
"Tim Daniel",0
"Tim Härtig",0
"Tim Hemmerle",64
"Tim Müller",2
"Tim Stalliegs",0
"Tobias Kurz",46
"Tom Jäger",0
"Tom Luca",9
"Tom Schackmann",36
"Tom Schlicker",43
"Torben Edelweiss",0
"Vincent Schöneberger",17
