"Name","Tore"
"Alexander Hans",0
"Alexander Momber",10
"Alexander Schulz",0
"arl Reiter",2
"arvin Kammer",0
"arvin Lebert",0
"aul Schuler",4
"aurin Witting",5
"Bastian Schacht",5
"Bastian Schneider",6
"Bennett Köster",0
"Calogero Elia",7
"Colin Haase",1
"ean Lucas",0
"Elias Rupp",1
"elix Georg",1
"elix Wohlgemuth",0
"Ellen Abel",2
"eniz Bilkin",1
"Eric Pelkowski",1
"Fabrice Breder",3
"Felix Hubertus",3
"Felix Schäfer",5
"Florian Woock",8
"Giuliano Lehmann",1
"Guiliano Santamaria",4
"Hannes Gebhardt",6
"Hendrik Löhbach",2
"hilip Syma",0
"hilipp Scherer",1
"hilipp Streif",0
"ian-Luca Linn",0
"iclas Hansen",8
"iyar Bilkin",3
"Jacob Speicher",10
"Jakob Faust",7
"Jakob Müller",0
"Jakob Schaum",9
"Jan Guckelmus",0
"Jannis Grausam",4
"Jeremy Gall",0
"Johannes Kiehn",0
"Johannes Kien",0
"Johannes Turich",0
"Jonathan Straß",1
"Joshua Lehmen",4
"Julian Prünn",7
"Justin Eckardt",0
"Justin Eckkardt",0
"Justin Nieweling",0
"Kilian Osbild",0
"Kilian Recktenwald",2
"Leon Leidinger",4
"lexander Ortel",2
"lorian Treitz",2
"Luca Monachino",5
"Luca Valela",4
"Luca Weber",1
"Lukas Bootz",5
"Lukas Loth",0
"Lukas Paul",7
"Lukas Spath",2
"Malte Löhbach",3
"Manuel Endres",6
"Marcel Hansen",1
"Marlon Fries",4
"Matheo Louis",0
"Maurice Müller",2
"Max Geber",10
"max schmitt",0
"Maxime Schille",6
"Maximilian Kirmse",5
"Maximilian König",1
"Michael Hüllein",12
"Milan Bender",0
"Milan Mohammadi",11
"Moritz Eckstein",1
"Nico Jager",0
"Nico Kreutzer",6
"Nils Bodtländer",19
"Nils Schöneberger",2
"Nils Waltner",6
"nuseekan Thanuskody",0
"obin Bonertz",1
"oel Heidecker",0
"Oliver Klemmer",1
"olkan Bilkin",11
"ona David",0
"orenz Jager",14
"Pascal Becker",0
"Pascal Groß",0
"Paul Gessner",0
"Philipp Abel",11
"Philipp Duchêne",1
"Philipp Montag",1
"rik Steisel",0
"Robin Kohl",15
"Ruwen Gebhardt",1
"Samuel Ehl",2
"sila möhlecke",2
"Simon Hoffmann",4
"Thorben Möhlecke",0
"Timo Kloster",0
"Tom Jung",0
"ukas Dresen",0
"ulien Weber",0
"Yannick Wagner",7
"Yannik Schorn",0
"ynn Konz",1
