"Name","Tore"
"Alexander Momber",6
"Bennett Köster",3
"Dennis Buchner",0
"Ehl Samuel",0
"Elias Rupp",0
"Elyas Noh",10
"Evan Horchemer",3
"Felix Wolfanger",3
"Gil Kunkel",23
"Jacob Speicher",2
"Jakob Faust",14
"Jakob Schaum",13
"Jan Luca",0
"Jan-Ole Schimmel",12
"Johannes Schramm",5
"Jonas Kewenig",13
"Jonas Kipp",1
"Jonathan Becker",14
"Julian Hügel",8
"Julian Prünn",3
"Keno Bjarne",0
"Kevin Mutig",1
"Kevin Speich",3
"Lars Ressing",1
"Laurin Karrenbauer",12
"Lennart Karrenbauer",14
"Lukas Paul",4
"Lukas Peifer",5
"Manuel Kirschweng",4
"Marlon Fries",0
"Marlon Werner",9
"Mathias Knoll",2
"Maurice Müller",0
"Max Geber",8
"Maximilian Kroner",9
"Michael Hüllein",2
"Moritz Eckstein",1
"Nico Jager",0
"Noah Meßner",1
"Noah Scherschel",0
"Oskar Czertowicz",5
"Pascal Becker",0
"Pascal Groß",0
"Philipp Abel",13
"Philipp Montag",7
"Ricardo Ehl",2
"Rouven Schneider",1
"Samuel Ehl",0
"Samuel Reitz",2
"Severin Brennauer",2
"Silvan Meyer",8
"Simon Speth",12
"Stefan Lermen",4
"Tim Eisel",0
"Tim Müller",1
"Waerder Finn",0
"Zapp Luca",0
