"Name","Tore"
"Alexander Hans",0
"Alexander Klein",1
"Alexander Momber",32
"alko Baller",0
"Anton Dietz",5
"Aron Linden",0
"arvin Lebert",0
"athias Bell",2
"aul Schuler",7
"aurin Witting",2
"Bastian Schacht",16
"Bastian Schneider",10
"Bennett Köster",6
"Calogero Elia",15
"Christoph Schneider",38
"Colin Haase",2
"Dennis Schneider",10
"ean Lucas",0
"Eckardt Justin",0
"Elias Rupp",1
"elix Rupp",2
"en Kaiser",7
"Eric Pelkowski",0
"Fabrice Breder",7
"Felix Hubertus",7
"Felix Schäfer",5
"Florian Woock",6
"Giuliano Lehmann",3
"Giuliano Santamaria",0
"Guiliano Santamaria",12
"Hannes Gebhardt",11
"hilipp Streif",1
"iclas Hansen",15
"Jacob Speicher",18
"Jakob Faust",18
"Jakob Schaum",31
"Jan Guckelmus",1
"Jan Luca",10
"Jannis Grausam",17
"Johannes Müller",9
"Johannes Turich",0
"Jonathan Straß",6
"Joshua-Nils Ruffing",6
"Julian Prünn",15
"Julian Schmitt",3
"Justin Eckardt",1
"Justin Eckhardt",0
"Justin Nieweling",0
"Kilian Osbild",1
"Lars Ressing",1
"Leon Comtess",0
"Leon Leidinger",17
"lorian Treitz",5
"Luca Jan",0
"Luca Monachino",3
"Lukas Bootz",15
"Lukas Loth",0
"Lukas Paul",9
"Lukas Spath",6
"Manuel Endres",22
"Marcel Daub",1
"Marlon Fries",9
"Matteo Schepp",32
"Matthias Heinz",10
"Maurice Müller",7
"Max Geber",28
"Max Rothbrust",8
"Maxime Schille",9
"Maximilian Kirmse",6
"Maximilian König",16
"Maximilian Schmitt",0
"Michael Hüllein",16
"Milan Bender",3
"Moritz Eckstein",2
"Moritz Giebel",0
"Nico Jager",0
"Nico Kreutzer",21
"Niklas Zangerle",0
"Noah Caroli",22
"Noah Kreis",15
"Noah Messner",0
"obin Bonertz",3
"Oliver Klemmer",8
"onas Bornmann",21
"orenz Jager",15
"Pascal Becker",0
"Pascal Groß",0
"Paul Gessner",0
"Philipp Abel",15
"Philipp Duchêne",1
"Philipp Montag",8
"Ricardo Ehl",0
"rik Steisel",3
"Robin Kohl",32
"Ruwen Gebhard",0
"Ruwen Gebhardt",1
"Samuel Ehl",6
"Silas Finn",2
"Silas Zimmer",2
"Silvan Meyer",4
"Thorben Arne",1
"Tim Rein",4
"Timo Kloster",3
"Yannik Schorn",0
"ynn Konz",2
