"Name","Tore"
"Alessandro Andolina",0
"Alexander Zwing",15
"Alhusain Mahmoud",13
"Bastian Faller",0
"Ben Neate",20
"bernardy leon",0
"Cedric Gruber",17
"Cedric Laval",0
"Clemens Fischer",1
"Dario Monachino",3
"Davide Castronovo",11
"Dominik Keller",2
"Elias Spelz",0
"Elijah Boumediene",15
"Fabian Schommer",0
"Fabio Caico",0
"Fares Aljabri",1
"Felix Geber",2
"Felix Hinsberger",27
"Finn Janes",0
"Finn Ole",4
"Jakob Krause",13
"Janis Klein",0
"Janus Vincent",10
"Jonas Neumeier",13
"Jonathan Marx",0
"justin hassel",6
"Justin Leon",2
"Kai Weingardt",5
"Karl Commercon",0
"Laurin Karrenbauer",39
"Lennard Schmitt",0
"Lennard Spies",19
"Louis Wöffler",26
"Luca Zapp",0
"Lucca Agostini",3
"Lukas Klein",2
"Marlon Rodener",0
"Max Josten",9
"Max Seiler",12
"Maxim Denerz",0
"Melikcan Iyilikci",0
"Mike Baron",10
"Moritz Aulenbacher",0
"Niclas Seibert",2
"Nikita Rakhimov",2
"Oscar Luis",6
"Oskar Czertowicz",25
"Paul Bauer",28
"Paul Blass",17
"Paul Broßius",10
"Paul Oscar",0
"Philipp Mues",4
"Philipp Petschick",18
"Philipp Pohlig",0
"Raphael Matthias",0
"Robert Schmidt",15
"Roland Maurer",0
"Rufus Hütt",1
"Sebastian Birster",4
"Silas Geis",7
"Silas Zimmer",10
"Simon Koch",0
"Simon Mathis",0
"Till Rodener",1
"Tim Daniel",0
"Tim Weingardt",8
"Tim Weisenbach",16
"Tobias Westrich",10
"Tom Czernickiewitz",15
"Tom Hennchen",0
"Tom Jonas",10
"Tom Schmitt",7
"Yannis Hewener",1
