"Name","Tore"
"Alexandre MONIOT",2
"André Weis",3
"antoine fick",32
"Antonio Coelho",5
"Axel MOREIRA",0
"axel osuagwu",3
"Baptiste JUNG",9
"Ben Even",22
"benjamim scouflaire",1
"Benjamin Scouflaire",6
"benjamin souflaire",0
"Bennett Köster",15
"bluette thomas",0
"Bob Zeimet",2
"Brandon Dal",13
"Cedric Gruber",3
"chamielec mathis",0
"clesse lucas",2
"coutant justin",0
"Duncan Bausch",0
"Elias Rupp",0
"emilien aschbacher",2
"Emilien Aschbacher",7
"Fabian Schommer",0
"gauthier aubry",1
"gauthier obry",2
"Gregorio Isolani",2
"Hugo Neuberg",48
"Jan-Luca Geber",0
"Jim Spirinelli",0
"Johannes Alt",2
"Jonas Wirth",4
"Julien DELAMAIN",2
"Justin COUTANT",1
"Kell Meyers",0
"Kevin Mutig",5
"kiffer Yannick",1
"KLENSCH Nicolas",0
"Lars Ressing",18
"Leandro De",5
"lebleu nathan",8
"Lenny Philbet",1
"Liam Schuster",69
"Loic Deville",18
"Loris PHILBERT",1
"Louis Mahnen",6
"Luca Kugener",0
"Lucca Agostini",13
"mangin paul",4
"Manuel Kirschweng",19
"matheo fels",2
"mathieu welter",4
"Mathieu Welter",15
"Mathys CHAMIELEC",0
"matthew videmont",2
"Matthew Videmont",7
"Michel Moyen",2
"Mikhail Pogosyan",0
"moniot alexandre",1
"Moritz Bender",1
"Nico Honecker",3
"Nico Rink",1
"Nicolas KLENSCH",0
"Noah Messner",9
"Noah Meßner",8
"Noah Trierweiler",8
"Oliver Mattes",0
"Oskar Wener",39
"Paul Blass",3
"paul thomas",19
"Paul Thomas",13
"pelletier valentin",0
"philbert loris",0
"Philipp Petschick",2
"pholbert lenny",0
"Quentin LEGENDRE",1
"quentin vinot",0
"Quentin Vinot",2
"Rafael Lourenco",2
"raphael buonvino",0
"raphael buovino",0
"Raphael Olivier",12
"Ricardo Ehl",16
"Samuel Reitz",4
"Severin Brennauer",9
"Stefan Lermen",10
"sulyvan peiffer",10
"Sulyvan Peiffer",1
"tacconi bastien",6
"Thomas BLUETTE",0
"Tim Hohmann",4
"Tim SIEBENALER",0
"Tom Czernickiewitz",8
"Tom DUBOIS",0
"Tom Hennchen",0
"Tom Schmitt",2
"Valentin PELLETIER",4
"Victor MICHEL",0
"Vincent Kreiselmaier",15
"Vincent Kreiselmeier",32
"Yanik Kiffer",6
"yoamm bonal",1
"yoann bonal",6
