"Name","Tore"
"Alec Streif",0
"Alen Hajdarevic",0
"Alexander Backes",0
"Alexander Kunz",0
"Alexander Zwing",5
"Ben Reidenbach",1
"Benedikt Finkler",0
"Benjamin Olejnik",1
"Cedric Loth",1
"Colin Kirsch",3
"Conrad Baldes",0
"Daniel Stecker",0
"Darian Steisel",8
"Dario Monachino",3
"Dariyan Werle",3
"David Noah",3
"David Pazur",0
"David Petit",1
"David Spies",0
"Davide Castronovo",11
"Dominik Keller",3
"Ekehan Nasim",0
"Elias Lumen",0
"Elias Palubitzki",1
"Elijah Boumediene",16
"Emil Hodyas",2
"Engel Merlin",1
"Erik Plan",0
"Fabian Geßner",0
"Fabian Schöneberger",2
"Fabio Schuld",4
"Felix Heinz",2
"Felix Klein",3
"Finn Janes",0
"Finn Reinhard",0
"Florian Lück",0
"Florian Lüke",1
"Frederik Käfer",0
"Fynn Pilger",3
"Hanna Walther",9
"Hannah Schmitt",0
"Hannes Bänsch",4
"Hendrik Suhren",3
"Henri Ewen",0
"Henrik Puhl",0
"Henry Wagner",0
"Ismael Gadelrabb",10
"Jakob Philipp",3
"Jan Noe",0
"Jannick Schneiderlöchner",0
"Janus Vincent",11
"Jara Pontius",0
"Jasper Fey",8
"Jean Luc",1
"Jelle Lang",5
"Jil-Leon Zang",0
"Joel Nicolay",1
"Johannes Hubert",3
"Jonah Lauer",1
"Jonas Friedrich",6
"Jonathan Marx",4
"Jörg-Pascal Michel",1
"Joris Werth",1
"Joshua Spaniol",0
"Jule Müller",2
"Julian Fritzsche",0
"Julian Jehl",6
"Julian Weber",6
"Julius Becker",1
"Julius Klein",0
"Julius Massar",0
"Justin Leon",4
"Justus Hell",0
"Justus Koch",0
"Kai Weingardt",5
"Kevin Waller",0
"Kilian Krieger",2
"Konstantin Jaufmann",0
"Krieger Kilian",2
"Lars Klemm",0
"Laurina Schlicher",2
"Lennard Sauer",6
"Lennard Schumacher",2
"Lennart Hahn",4
"Leo Merz",0
"Leo Röer",2
"Leon Groß",1
"Leon Krammes",0
"Leon Kuckartz",0
"Leon Schmitt",6
"Leonie Halina",0
"Louis Reinhard",0
"Louis Wöffler",12
"Luca Schöneberger",3
"Luca Varano",1
"Lucas Pohlig",0
"Lucy Leidinger",3
"Luisa Kissel",3
"Lukas Kondziela",16
"Lukas Kümmel",0
"Marc Stöckel",0
"Marie Thönes",3
"Mathis Goldau",0
"Matthis Lux",14
"Maurice Clemens",8
"Max Seiler",7
"Max Wagner",3
"Maxim Gait",0
"Melina Marie",6
"Merlin Engel",0
"Merlin Weber",1
"Michael Krimmel",1
"Michelle Klytta",1
"Morice Veit",0
"Moritz Aulenbacher",3
"Moritz Bruhn",0
"Nasim Ekehan",0
"Nevio Heinz",2
"Nick Adams",0
"Nico Mohr",1
"Nico Pohlig",2
"Nico Straß",0
"Nicolas Becker",3
"Nicolas Vinzent",3
"Nikas Lampel",2
"Nikita Rakhimov",7
"Niklas Geber",1
"Niklas Lampel",3
"Niklas Mohr",5
"Niklas Weber",0
"Nils Klasen",1
"Nils Köhler",0
"Nils Lion",0
"Nils Newrzella",0
"Noah Dewes",0
"Noah Dorscheid",0
"Noah Oremek",0
"Olliver Wörther",3
"Paul Klein",1
"Paul Oscar",0
"Paul Oswald",0
"Paul Stockum",1
"Pavel Radev",0
"Peter Biehl",0
"Philip Aurel",1
"Philipp Huberti",0
"Philipp Mues",2
"Philipp Müller",0
"Phillip Müller",1
"Rafael tim",13
"Raphael Matthias",2
"Rico Schwan",6
"Robin Kreutzer",1
"Rocco Del",0
"Romeo Koch",1
"Rufus Hütt",11
"Runy Amir",2
"Serap Acar",0
"Simeon Holzer",14
"Simon Mathis",0
"Tabea Jakobs",0
"Till Klimbingat",1
"Tim Glöckner",4
"Tim Weingardt",8
"Timo Wagner",0
"Tobias Westrich",4
"Tom Propach",0
"Tristan Zeck",0
"Tronje Schröder",2
"Valentin Strauß",5
"Vincent Mattina",1
"Vincent Metz",0
"Weber Merlin",1
"Yanis Meyer",0
"Yannis Meyer",1
