"Name","Tore"
"Adina Wörner",4
"Alisha Herzig",29
"Amélie Böres",0
"Amy Schwindling",14
"Anekke Helbrecht",3
"Anna Beyer",15
"Anna Glaser",8
"Anna Levigion",0
"Anna Vogt",13
"Anna Zägel",24
"Anna-Larissa Teske",0
"Anna-Larissa Theske",0
"Annalena Recktenwald",1
"Annalena Spira",1
"Anneke Helbrecht",20
"Annika Puhl",1
"Annika Schmitt",16
"Antonia Bauer",40
"Aurora Nola",0
"Ayleen Michel",5
"Carlotta Schütz",7
"Caroline Jakobs",0
"Celina Weschenfelder",38
"Celine Jag",2
"Celine Schneider",1
"Deborah Lux",19
"Denise Reiser",0
"Diana Nozdrin",21
"Elena Rech",7
"Emilia Bollenbach",1
"Emilie Marlene",11
"Emily Bursch",0
"Emily Hagenbucher",10
"Emma Wilhelm",6
"Eva-Marie Rademacher",6
"Fabiana Wieser",0
"Fabienne Faust",24
"Fabienne Michel",5
"Fenja Leonhardt",4
"Finnja Wolff",12
"Franca Pirschl",13
"Franziska Förster",5
"Franziska Stein",31
"Gertrud Kosa",13
"Gianna Fuchs",33
"Gina-Sophie Dörr",79
"Hanna Müller",6
"Hanna Rudolph",44
"Hannah Schneider",4
"Hedda Käsgen",7
"Helen Daschner",0
"Inga Käsgen",6
"Isabella Bessey",21
"Jacqueline Tines",60
"Jana Hägele",45
"Jana Korn",21
"Jana Lorenz",18
"Jana Vogt",36
"Janine Baus",79
"Jaqueline Wegner",0
"Jasmin Fiedler",0
"Jasmin Jung",39
"Jasmina Zimmermann",25
"Jette Martin",0
"Jette Vogt",4
"Johanna Brennauer",29
"Johanna Kiefer",0
"Johanna Werthmann",14
"Julia Stauder",3
"Julia Volk",18
"Katharina Buchner",0
"Katharina Scheid",18
"Katharina Smolle",2
"Kim Marie",0
"Kira Mager",3
"Laila Mustafalic",20
"Lara Bierenfeld",0
"Lara Gantner",1
"Lara Neff",2
"Lara Schwarz",3
"Lara Sophie",12
"Lavinia Roth",43
"Lea Bullacher",15
"Lea Hassinger",4
"Lea Haßinger",21
"Lea Scherer-Tiby",5
"Lena Becker",3
"Lena Dettling",0
"Lena Gößner",0
"Lena Hoffmann",32
"Lena Marie",22
"Lena Oberbillig",3
"Leonie Mittnacht",22
"Leonie Seußler",12
"Lilly Kipp",1
"Lilly Rautenberg",0
"Lina Jacoby",22
"Linda Dort",16
"Lisa Kleemann",0
"Louisa Nimsgern",4
"Louise Fleck",43
"Luana Bingen",2
"Lucina Fischer",0
"Lucy Hilz",19
"Lucy Sulta",12
"Luisa Muschler",2
"Luisa Sartor",25
"Luisa Strubel",38
"Luna Lamberty",31
"Magdalena Reimsbach",0
"Maite Elisabeth",0
"Maja Nell",1
"Maja Urbanek",47
"Maleen Elsner",17
"Malena Lange",0
"Malin Scherer",5
"Mara Burgard",3
"Maria Kögel",0
"Marie March",1
"Marie Recktenwald",0
"Marie Simon",9
"Marusha Klug",18
"Mia Gieske",12
"Michelle Reis",41
"Michelle Wotzka",13
"Milena Bickler",5
"Milena Dust",10
"Milena Tinnes",23
"Mira Cartus",9
"Miriam Wintersinger",13
"Mona Reichling",15
"Natahlie Polcher",5
"Nathalie Polcher",40
"Nele Jung",18
"Nele Roos",12
"Nele Weiand",9
"Nicole Hubert",14
"Nicole Weschenfelder",42
"Nina Schillo",0
"Paula Krämer",22
"Philine Sophie",47
"Sanja Oser",9
"Sara Arias",18
"Sara Jelicic",9
"Sarah Hemmerich",0
"Selina Pinkawa",12
"Selina Schunck",46
"Sonja Buchholz",0
"Sonja Köster",16
"Sophie Helen",0
"Sophie von",56
"Svenja Graebling",57
"Trixi Kerth",6
"Viktoria Garvanovic",1
"Wolff Finnja",0
