"Name","Tore"
"Agnesa Xhymshiti",1
"Alexandra Dué",0
"Alina Marie",2
"Alina Meuer",24
"Amelie Rock",10
"Amelie Schneiderlöchner",12
"Amina Raber",11
"Amina Störmer",0
"Ana Tonita",11
"Anaïs Djingou",2
"Angelina Günther",9
"Angelina Petschick",2
"Anna Roth",8
"Anna-Lisa Ewen",5
"Carolin Marie",7
"Celine Jag",14
"Charlotte Bruhn",1
"Charlotte Buchheit",2
"Christina Peters",6
"Christina Schwindt",3
"Dana Schlemmer",13
"Daria Kroll",0
"Daria Reichert",0
"Deborah Fleck",0
"Diana Kroll",0
"Dobroslawa Borowiec",12
"Ella Hartfelder",1
"Emely Brehm",4
"Emely Hausknecht",1
"Emely Weber",0
"Emilia Ehlen",0
"Emily Engel",0
"Emily Weber",1
"Emma Laub",0
"Fabienne Balzer",4
"Fabienne Fixemer",2
"Finnja Waller",1
"Florine Schmeer",12
"Hanna Bies",53
"Hanna Kubera",3
"Hannah Kreutzer",15
"Hannah Landgraf",3
"Helene Rettig",0
"Jette Fechler",13
"Jil Jung",0
"Johanna Wachs",1
"Jolina Steinmetz",4
"Joline Werding",3
"Jonna Müller",6
"Josefine Zimmer",0
"Josephine Zimmer",0
"Julia Klester",0
"Kaja Trost",4
"Karina Schwindt",2
"Kiara Block",16
"Kimberly Raithel",0
"Lara Luckas",1
"Lara Walter",0
"Lara Welsch",4
"Lara Witt",0
"Laura Kroll",0
"Lea Hau",13
"Lea Lang",28
"Lea Trierweiler",6
"Lena Becker",0
"Lena Gäng",6
"Lena Geibel",35
"Lena Waerder",6
"Leonie Massar",6
"Leonie Müller",0
"Lia Ullinger",0
"Lilly Gerhard",2
"Lilly Rautenberg",0
"Lilly Reimringer",10
"Lina Johannes",4
"Lina Schmidt",2
"Lina Wöffler",33
"Lisa Marie",12
"Lisa-Marie Schmidt",10
"Louise Hahn",12
"Luca Schmeer",11
"Lucia Lilienthal",1
"Lucie Staub",3
"Lucy Beenen",9
"Lucy Hilz",33
"Luisa Bauer",5
"Luisa Klimke",17
"Luna Fink",0
"Marie Glück",11
"Marie Gottschalk",0
"Marie Kammer",2
"Marie Kempf",14
"Marie Mathis",7
"Marie-Julie Busche",18
"Mathilda Marx",14
"Maxine Petry",11
"Maya Cheraba",7
"Melanie Fixemer",0
"Melina Heinrich",2
"Melina Schmidt",18
"Merle Ronja",1
"Merle Wannenmacher",2
"Mia Kraus",7
"Michelle Augustin",0
"Nele Semar",2
"Nele Weiand",5
"Paula Weisenstein",8
"Rachelle Fouaghla",16
"Raïssa Djingou",0
"Rebecca Brutty",10
"Romy Embacher",0
"Sabrina Schuler",2
"Sally Leidinger",5
"Sara Luzie",10
"Sarah Arrache",2
"Sarah Marschel",2
"Selina Kurzenhäuser",1
"Simon Anna",1
"Sina Trouvain",13
"Sophie Höftmann",5
"Sophie Kreibig",1
"Sophie Sandra",14
"Staub Lucie",1
"Svea Dreke",16
"Svenja Schulze",0
"Tabea Mager",10
"Tamara Schmidt",29
"Teja May",3
"Valeria Imarova",0
"Vanessa Schettle",8
"Vanja Cieslak",0
"Victoria Schu",2
"Viktoria Görgen",21
"Viktoria Schuh",0
"Viola Shelestov",3
"Vivien-Ayline Busche",0
"Waerder Zoe",1
"Yana Nina",2
"Zoe Viehoff",22
"Zoe Waerder",0
"Zoe Wagner",16
