"Name","Tore"
"Ada Siemsen",0
"Aimée Hollinger",23
"Anastasja Stoller",1
"Aneesa Stein",0
"Angelina König",0
"Angelique Schwartz",0
"Cecile Thiel",1
"Charlotte Buchheit",3
"Clara Neurohr",0
"Collien Kühn",7
"Dana Ditrich",2
"elia Lux",0
"Elisa Kolb",0
"Ella Pauline",2
"Emely Luxenburger",0
"Emma Kütten",3
"Emma Otto",0
"Emma Rettig",14
"Finnja Straß",1
"Franziska Fritz",3
"Franziska Reuland",0
"Greta Bochem",0
"Hadi Nermine",0
"Halima Alhamid",17
"Haneul Yoo",0
"Hannah Reiland",6
"Hannah Sehr",4
"Heidi Lesch",0
"Helena Peters",4
"Henriette Dubois",12
"Isabelle Büchel",2
"Isabelle Külzer",0
"Janne Knoch",0
"Jasmin Ziegler",0
"Johanna Faltin",1
"Johanna Schäfers",13
"Johanna Schommer",0
"Johanna Schröder",16
"Johannah Müller",7
"Josefine Thieser",0
"Jule Busche",9
"Julia Burel",10
"Julia Marcinczuk",2
"Katharina Wagner",0
"Kiara Krause",0
"Lara Janssen",6
"Laura Brockskothen",6
"Laura Kolb",0
"Lea-Marie Koch",0
"Lena Benard",0
"Lena Bugiel",1
"Lena Haas",9
"Leni Cheraba",5
"Leni Rautenberg",0
"Leni Seger",3
"Leni Steffensky",2
"Lenja Schlink",3
"Leonie Meinecke",12
"Lilly Geidel",0
"Lou Marke",0
"Louise Steimer",4
"Malina Scheer",2
"Marie Sophie",10
"Mathilde Vincent",2
"Melina Meyer",2
"Melissa Tangaro",0
"Meyra Cin",0
"Mia Parage",0
"Michaela Walter",2
"Milla Krings",8
"Natalie Treise",1
"Nesrin Arfaoui",0
"Noémie Ben",13
"Paula Schönherr",0
"Romy Ilse",7
"Ronja Silvia",1
"Samira Hirtz",0
"Saphy Erika",12
"Sarah Gebhardt",0
"Sofia Schäfer",2
"Sonja Potdevin",8
"Sophie Reiland",0
"Sophie Schumacher",1
"Sophie Thielen",0
"Vanessa Petzke",3
"Zoe Hofmann",1
"Zoe Klein",14
