"Name","Tore"
"Alicia Schulien",21
"Anastasia Wotschel",0
"Angelina Ecker",0
"Anna Dillinger",27
"Antonia Schuster",0
"Aylin Becker",2
"Caroline Georgi",30
"Celine Fixemer",1
"Céline Fixemer",12
"Celine Lousee",0
"Celine Lousée",1
"Chantal Wagner",74
"Charlotte Krauß",35
"Chiara Jolie",1
"Christina Czyrnik",0
"Dana Friedrich",13
"Diana Späth",1
"Elena Antinoro",17
"Emilia-Ellen Wilms",1
"Emily Sophie",1
"Emma Bachelier",8
"Emma Klein",1
"Emma Recktenwald",9
"Evelina Vasilev",12
"Franka Straßburger",0
"Gianna Burgio",1
"Gina Carlino",29
"Hanna Thies",22
"Hannah Klein",5
"Hannah Luckas",1
"Hannah Thies",5
"Hannah-Lorena Dörr",32
"Helena Dörr",0
"Helena Fries",29
"Jamie Kockelmann",0
"Jana Schulze",1
"Jolie Damberger",0
"Jolie Karla",5
"Jolien Atz",16
"Jolina Durrang",4
"Josephine Meyer",1
"Joudi Midani",0
"Jule Noh",40
"Julia Kristin",31
"Julia Roth",38
"Juliane Klein",0
"Katharina Ferber",1
"Kathrin Fritzenwanker",2
"Kimberly Podevin",16
"Klara Mirjam",0
"Klara Rupp",0
"Klara Wenzel",21
"Lara Brahem",15
"Lea Scherer",0
"Lea Sophie",12
"Lea Sträßer",6
"Lena Müller",0
"Lena Schneider",1
"Lena Sophie",2
"Lena-Marie Kunz",29
"Leni Naumann",0
"Liliana Hinsberger",1
"Liliana Schmitt",1
"Lilie Jochum",0
"Lily Jochum",1
"Maelle Julie",1
"Marlen Mähler",11
"Melina Rohe",16
"Michelle Staub",0
"Mira Müller",3
"Neele Schimmel",53
"Nele Kreutz",7
"Nele Paque",14
"Nele Spengler",64
"Nicole Ternovskij",2
"Paula Cochlovius",12
"Raihana Fouaghla",34
"Rania Samira",1
"Sarina Henning",0
"Sima Midani",1
"Stella Heuper",42
"Tessa Burkart",0
"Vanessa Kitler",2
