"Name","Tore"
"Alexia Randisi",0
"Amelie Ferber",0
"Amelie Lucia",0
"Amélie Neifer",0
"Ana Oberan",0
"ana Wilhelm",5
"Angelina-Sophie Neurohr",1
"anna Stein",0
"annah Schmitt",19
"Annalena Hoffmann",2
"arie Oswald",0
"arin Albayrak",5
"atali Jaufmann",1
"atjana Marie",1
"Brooke Sahra",2
"Charlotte Burel",2
"Christina Gunkel",1
"Clara Frank",0
"Clara Seyfert",1
"Clara Ströker",0
"Desirée Rotiroti",1
"ea Kesseler",0
"Eileen Denter",0
"elia Lux",0
"elisa kolb",6
"Ella Katharina",8
"Emilia-Julien Walther",0
"Emma Otto",9
"Ena Talic",0
"erfin Dogan",0
"Eva Limbach",0
"Fabienne Flausse",1
"Fee Clara",2
"Helena Dörr",6
"Ida Rosa",7
"ilay Cimen",0
"Isabelle Külzer",12
"Jamelia Lange",0
"Jana Backes",0
"Jana Görlich",11
"Jana Ibrahim",21
"Jana Koch",1
"Jana Peiffer",9
"Jana Pöhler",1
"Jana Rausch",0
"Janice Veit",3
"Josefine Maria",1
"Jule Beckert",0
"Juliane Würth",0
"la Albayrak",0
"Lana-May Engel",31
"Laura Bus",0
"Lea Behr",2
"Lea Bier",1
"Lea Wacker",0
"Lena Brockskothen",8
"Lena Bugiel",13
"Lena Hinsberger",0
"Lena Jolie",0
"Lene Ströker",12
"Leni Anton",12
"Leni Broßius",4
"Leni Rautenberg",6
"Lenja Madelaine",13
"Leonie Hoen",0
"Leonie Zambito",0
"Leyla Gören",0
"Liah Bies",19
"lif Senyüz",4
"Lili Rose",5
"Lilly Bhowon",0
"Lilly Brücker",7
"LIlo Ruffing",0
"Lily-Rose Durquety",1
"Lina Boldorf",2
"Lina Dusdal",0
"Lisanne Flausse",1
"lla Steffensky",3
"Lola Schwartz",1
"Lou Marke",13
"Lucy Thielen",0
"Luisa Brill",13
"Luise Schilke",44
"Maja Pletscher",0
"Mara Koch",3
"Mara Sophie",16
"Mari Müller",4
"Marie Trampert",0
"Marilen Lawall",3
"Mathilda Barth",23
"Melissa Tangaro",12
"Meryem Yavas",0
"Mia Alexandra",2
"Mia Munzinger",0
"Michele Tietz",0
"mma Groß",0
"Nara Yoo",1
"Nele Rodenbusch",3
"Nele Schäfer",0
"Nele Weyand",2
"Nera Zovko",3
"ohanna Selgrath",4
"Paula Friedrich",2
"Ronja Hirtz",0
"Salma Ibrahim",2
"Sarah Zangerle",0
"Sophia Nayman",0
"Sophie Claire",0
"Sophie Tamble",0
"Sophie Thielen",13
"Stella Kiczka",0
"Stella Tregnan",0
"Tuana Öztürk",0
"uana Alagöz",2
"ule Kallenborn",0
"ulia Schröder",2
"Vanessa Gier",0
"Vanessa Prasse",0
"Victoria Herweck",0
